Name,Description
Shadcn Form Builder,"Create forms with Shadcn, react-hook-form and zod within minutes."
Color Fuse AI,Get more out of your design with AI.
fffuel,fffuel is a collection of color tools and free SVG generators.
animate-code,Make clean animations of your code.
Invoice Generator,Free and privacy-based invoice generator. Built by Csaba Kissi.
Animated Backgrounds,Our animated backgrounds will bring your content to life.
123apps,Web Apps by 123apps.
OnlineInterview,Collaboratively write code on the browser. Free remote tech interview platform
codepng,Turn your code into awesome pictures.
JSON CRACK,Visualize JSON into interactive graphs.
Tonni Tools,"I got tired of ad-filled, tracking-heavy sites with annoying limits. So I started rebuilding the tools I use most — without the ads, the tracking, the paywalls, or the nonsense."
Coolors,The super fast color palettes generator.
AHrefs,Everything you need to rank higher & get more traffic.
Snappify,Take your Code Presentations to the next level.
favicon.io,The only favicon generator you need for your next project.
Regex101,"Regular expression tester with syntax highlighting, explanation, and cheat sheet."
Tools 100L5,10015.io is a “free all-in-one toolbox” solution.
PRM,"Don't want to read more, create your readme."
Haikei,Web-based design tool to generate unique SVG design assets.
Google Analytics Checker,Check your script tag for free.
OpenGraph,The Easiest Way to Preview and Generate Open Graph Meta Tags.
ColorHub,Find the perfect color palette for your next project.
QR Code Generator,QR code generator.
ProfileMe.dev,Create an amazing GitHub profile in minutes.
LogoFast,"Create logos faster, and easier then ever before. Made by Marc Lou."
ColorMagic,Generate colors from keyword for image of color you enter.
