#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Pricing Table Toggle,Add a pricing section with toggle buttons to switch between monthly and yearly billing.,"✅ UX Toggle, ✅ Pricing UX, ✅ Plan Comparison",A responsive pricing block that lets users switch between different billing frequencies to compare plan options.
2,Tiered Checkout Form,"Create a checkout form that dynamically adjusts based on selected plan tier (e.g., Basic, Pro, Enterprise).","✅ UX Flow, ✅ Dynamic Form, ✅ Tier Logic",A form that changes input fields or options based on the selected pricing tier.
3,Discount Code Field,Include an input where users can enter a promo code to get a discount on checkout.,"✅ Promo Logic, ✅ Input UX, ✅ Validation",Allows users to apply discount codes and validates them in real time.
4,Order Summary Card,"Build a summary block that shows selected items, subtotal, taxes, discounts, and final total.","✅ UX Recap, ✅ Cart Logic, ✅ Price Calculation",Gives users a clear breakdown of what they’re paying for before confirming purchase.
5,Subscription Frequency Picker,"Let users choose how often they’re billed (monthly, quarterly, yearly) with visual radio or toggle buttons.","✅ UX Toggle, ✅ Recurring Billing, ✅ Input UX",Enables users to choose their preferred billing frequency in a visually intuitive way.
6,Tax Calculation Display,Show estimated tax during checkout based on user location input or selection.,"✅ Tax Logic, ✅ UX Transparency, ✅ Location Input",Helps users see accurate cost breakdown including tax before purchase.
7,Incentive Banner Strip,Add a slim banner above the checkout form with a promotional message like 'Free shipping for orders over $50.',"✅ UX Banner, ✅ Incentive Messaging, ✅ Marketing Prompt",A small banner used to nudge users toward certain purchase thresholds.
8,Secure Payment Icons,Display icons of accepted payment methods and security badges near the checkout button.,"✅ Trust UX, ✅ Payment UX, ✅ Visual Cues",Helps increase buyer confidence by showing recognizable payment options and security icons.
9,Upgrade CTA Card,Show a suggestion box encouraging users to upgrade to the next plan tier for additional benefits.,"✅ Upsell UX, ✅ CTA Logic, ✅ Plan Comparison",A small block suggesting users consider a higher plan and highlighting its advantages.
10,Price Breakdown Accordion,Use an accordion element to show or hide detailed pricing breakdown like service fees or VAT.,"✅ UX Accordion, ✅ Price Transparency, ✅ Interactive Reveal",Keeps the checkout clean but lets curious users dive into fee details.
11,One-Click Checkout,Create a fast checkout flow where returning users can complete purchase in one click with saved details.,"✅ UX Speed, ✅ Saved Info, ✅ Payment API",Allows returning users to skip input fields and instantly complete purchase using previously stored info.
12,Plan Comparison Table,Add a table that clearly compares features across multiple pricing tiers with highlight on recommended plan.,"✅ Comparison UX, ✅ Feature Grid, ✅ Highlight Logic",Helps users easily evaluate plan differences and nudges them toward the recommended option.
13,Trial Period Countdown,Display a countdown showing how many days remain in the user's trial before they are billed.,"✅ UX Timer, ✅ Subscription Logic, ✅ Visual Countdown",A dynamic visual that builds urgency by showing trial end date and billing info.
14,Gift Checkout Mode,Enable a gift option in the checkout where users can send items or subscriptions to someone else.,"✅ Gifting UX, ✅ Alt Recipient Input, ✅ Gift Message",Adds gifting functionality so users can send items to another person with a custom message.
15,Installment Payment Selector,Let users split a large payment into multiple installments with a visual breakdown.,"✅ UX Finance, ✅ Payment Options, ✅ Pricing Breakdown",Helps users afford high-ticket items by offering structured payment options.
16,Enterprise Plan Inquiry Form,Add a CTA button under pricing cards that opens a modal for large teams to request a custom quote.,"✅ Modal UX, ✅ B2B CTA, ✅ Lead Capture",Lets enterprise customers express interest in custom pricing and captures key sales leads.
17,Auto-Applied Discounts,"Detect eligible discounts (e.g. first-time user, student) and apply them automatically at checkout.","✅ Smart Logic, ✅ UX Delight, ✅ Eligibility Rules",Removes friction by auto-applying valid discounts based on user info or session data.
18,Pricing FAQ Accordion,Embed an FAQ section below pricing cards to answer common billing and refund questions.,"✅ UX Support, ✅ Expandable FAQ, ✅ Billing Clarity",Reduces friction by preemptively addressing pricing objections or uncertainties.
19,Invoice Download Button,Add a button that lets users download a PDF invoice after completing checkout.,"✅ PDF Export, ✅ UX Utility, ✅ Post-Purchase Action",Useful for business users who need invoices for recordkeeping or reimbursement.
20,Currency Selector Dropdown,Include a dropdown that lets users switch between different currencies and updates prices in real time.,"✅ Currency Logic, ✅ Dynamic Pricing, ✅ UX Picker",Supports global buyers by letting them see and pay in their preferred currency.
21,Billing & Payment Panel,"Scaffold a billing panel to view current plan and payment method, and update or cancel subscription.","✅ API Integration, ✅ Payment UX, ✅ Confirmation Modals","Lets users manage billing preferences, update payment details, or cancel subscriptions directly from one place."
22,Embedded Checkout Flow,"Create an inline checkout experience with plan selection, billing form, and confirmation toast.","✅ Payment API, ✅ Inline Form UX",Keeps users in context while they complete a purchase without being redirected to a separate page.
23,Plan Upgrade/Downgrade Selector,Add a UI for users to compare their current subscription plan with others and switch with confirmation.,"✅ UX Switch, ✅ Pricing Comparison, ✅ Confirmation",Helps users transition smoothly between subscription tiers with full clarity.
24,Cancel Subscription + Feedback,Design a cancellation flow where users submit a reason and optionally get a pause or discount offer.,"✅ Form UX, ✅ Conditional Logic, ✅ Feedback Capture","Provides a user-friendly way to cancel, while offering incentives to reduce churn."
25,Embedded Pricing Widget,"Create a compact pricing widget with monthly/yearly toggle and inline CTA, reusable across pages.","✅ Toggle Logic, ✅ Embeddable UI",A small footprint widget that can live across pages and drive subscriptions efficiently.
26,Add Payment Method Form,"Create a secure form for entering credit card details, with input validation and save logic.","✅ Payment UX, ✅ Validation, ✅ Secure Input","Allows users to securely input and save their payment information, with real-time validation."
27,One-Time Purchase Flow,"Build a UI that lets users select a product, review cost, and pay instantly with Stripe or Apple Pay.","✅ Payments, ✅ Product Summary, ✅ Instant Checkout",Enables quick purchases of single products using fast-pay options like Stripe or Apple Pay.
