🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Tab Navigation Section,1,"✅ Tab Logic, ✅ State Storage",Lets users switch between different content views using tabs. Remembers the last tab selected.,Create a tabbed content section that stores last active tab and switches views without reload.
Divider Line with Label,15,"✅ Visual Divider, ✅ Label Logic",Visually separates sections of content while optionally providing a label to contextualize.,Insert a horizontal divider line that includes an optional label in the center.
Floating Action Button,17,"✅ Floating UI, ✅ CTA Logic","Provides a persistent button for quick access to key actions, often used in mobile layouts.",Add a floating action button in the bottom corner that triggers a key action or menu.
Responsive Grid Layout,11,"✅ Responsive Layout, ✅ Grid System","Displays content in a grid that reflows across devices, ensuring a clean layout on any screen.",Create a flexible grid layout that adjusts the number of columns based on screen size.
Card-Based Content Grid,16,"✅ Card UI, ✅ Grid Layout",Displays information in neatly styled cards that adapt across devices and screen sizes.,Showcase content in individual cards arranged in a responsive grid layout.
Empty State Block + CTA,9,"✅ Visual UX, ✅ Actionable CTA",Provides a friendly placeholder with guidance and a call to action when there’s no content yet.,"Design an empty state block with illustration, supportive text, and a CTA button prompting next action."
Collapsible Section Block,12,"✅ Toggle Logic, ✅ UX Accordion","Lets users hide or reveal content, useful for FAQs or space-saving layouts.",Add a section with a toggle that expands or collapses content when clicked.
Sticky Header on Scroll,10,"✅ Sticky UI, ✅ Scroll Behavior","Keeps the site’s main header visible as users scroll, improving navigation and branding visibility.",Add a header that stays fixed at the top when the user scrolls down the page.
Centered Callout Box,14,"✅ UX Highlight, ✅ Focus Block",Draws attention to a key message or tip with a visually distinct callout box.,"Create a centered callout box for announcements, tips, or highlights with emphasis styling."
Progress Indicator Bar,19,"✅ Progress UI, ✅ Scroll Logic",Helps users understand how far they've read or how close they are to completing a task.,Add a horizontal bar at the top of the screen to show scrolling progress or task completion.
Minimal Breadcrumb Trail,25,"✅ Breadcrumb UX, ✅ Navigation Aid","Shows users where they are in the site structure, making navigation more intuitive.",Add a simple breadcrumb trail at the top of the layout for page navigation.
Responsive Masonry Grid,24,"✅ Masonry Layout, ✅ Auto Sizing","Packs variable-sized blocks efficiently without gaps, great for galleries or dynamic feeds.",Display items in a masonry-style grid that automatically adjusts based on content height.
Layered Content Stack,23,"✅ Visual Layers, ✅ UX Styling",Creates depth in the layout by layering content blocks with shadows or offsets.,"Stack content blocks with overlapping effects, shadows, or z-index layers."
Testimonial Carousel,3,"✅ Carousel, ✅ Swipe UX",Showcases user testimonials in a sliding carousel with automatic or manual controls.,"Add a rotating testimonial carousel with user quotes, avatars, and auto-scroll or swipe controls."
Feature Highlights + Icon Row,6,"✅ Icon Layout, ✅ Feature Copy",Highlights product or service features using a clean icon-based visual layout.,Display a row of icons with short feature blurbs underneath. Use 3–6 items in a horizontally scrollable or responsive grid.
Text + Media Split Block,21,"✅ Layout Balance, ✅ Media Embed",Pairs copy with media in a visually appealing and easy-to-read side-by-side format.,Create a split-screen block with text on one side and media (image or video) on the other.
Full-Screen Overlay Menu,20,"✅ Overlay Logic, ✅ Navigation UX",Provides a dramatic full-page navigation or content menu triggered from a single icon.,Build a full-screen overlay that opens from a menu icon and shows navigation or content blocks.
Two‑Column Hero Section,5,"✅ Responsive Layout, ✅ Media Embed",Balances text and media in a two-column hero section to communicate key messages visually.,"Design a responsive hero section with headline and CTA on the left, and image or video on the right."
File Gallery + Lightbox Viewer,8,"✅ Gallery Layout, ✅ Modal Viewer","Lets users view images or media files in a clickable grid with a zoomable, scrollable viewer.",Display uploaded media in a grid of thumbnails. Clicking opens a full-screen lightbox viewer with zoom and scroll.
App Footer with Links + Social Icons,7,"✅ Footer Layout, ✅ Navigation, ✅ Social Icons","A site footer that contains important links and social media icons, styled for responsiveness.","Build a footer with legal links, navigation, and social media icons. Make it responsive and sticky if needed."
Grid with Featured Spotlight,18,"✅ Responsive Grid, ✅ Highlight UX","Blends regular and featured items in one layout, drawing attention to spotlighted content.","Design a grid of cards with one larger, highlighted card as the main feature."
Background Pattern Wrapper,13,"✅ Visual Styling, ✅ Container UX",Enhances layout with a background style that adds visual depth without distracting content.,Wrap content in a container with a subtle repeating background pattern or gradient.
Pinned Sidebar Layout,22,"✅ Layout UX, ✅ Sticky Sidebar",Improves navigation and quick access by keeping sidebar content visible at all times.,Design a layout with a sidebar that stays fixed while content scrolls independently.
Infinite Scroll Feed,2,"✅ Infinite Scroll, ✅ Feed UX","Loads more content automatically as the user scrolls, creating a seamless browsing experience.",Build a dynamic feed that auto-loads more posts as the user scrolls. Include a spinner and empty state.
Hero + Lead Capture Block,4,"✅ Form UX, ✅ CTA Logic, ✅ Confirmation",A hero section that collects user emails through a simple form with confirmation feedback.,"Create a landing page hero section with a headline, subtext, email input, and a CTA. Show confirmation after submission."
