#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Dynamic Field Adder,Create a form where users can dynamically add or remove input fields as needed.,"✅ Input UX, ✅ Field Management, ✅ Dynamic Logic","Lets users add or remove sections of a form, such as adding more recipients or options on the fly."
2,Floating Label Input,"Design input fields where labels float above when the user types, reducing clutter.","✅ Clean UX, ✅ Label Behavior, ✅ Accessibility",Enhances input usability by keeping labels visible and reducing layout space.
3,Masked Input Formatter,"Build inputs that format user entries automatically (e.g., phone number or credit card).","✅ UX Formatting, ✅ Input Masks, ✅ Error Prevention","Ensures user inputs follow a format like dates, phone numbers, or ZIP codes."
4,Password Visibility Toggle,Add a show/hide button to password input fields to improve user entry accuracy.,"✅ Password UX, ✅ Toggle Logic",Gives users control over password visibility to reduce typing errors.
5,Auto-Grow Textarea,Create a textarea that grows as the user types more content.,"✅ Text Input, ✅ Dynamic Resize, ✅ UX Feedback",Improves usability by expanding the input area for longer responses automatically.
6,Form Autosave Draft,Enable autosave for form input so users don’t lose progress if they navigate away.,"✅ Autosave, ✅ State Persistence, ✅ UX Safeguard",Prevents data loss by saving form state locally or in the cloud.
7,Grouped Input Rows,Organize related form fields into visually grouped sections for clarity.,"✅ Layout UX, ✅ Input Grouping",Makes complex forms more digestible by clustering related fields together.
8,Autosuggest Location Input,Add a location input that suggests city or address names as users type.,"✅ Autosuggest, ✅ Location API, ✅ UX Prediction",Helps users quickly find and input geographic data using live suggestions.
9,Terms Acceptance Checkbox,Include a required checkbox that users must check to agree to terms before submitting.,"✅ Compliance, ✅ UX Barrier, ✅ Form Control",Ensures legal and policy acknowledgment before form submission.
10,Live Word Count for Textarea,Display a live word or character count below a large text input.,"✅ UX Feedback, ✅ Text Input, ✅ Content Limits",Guides users to stay within limits or see their content volume in real time.
11,Conditional Input Display,"Show or hide form fields based on earlier selections (e.g., dropdown triggers a new field).","✅ Conditional Logic, ✅ Form UX",Personalizes the form experience based on user choices.
12,Form Field Tooltips,Add tooltip icons to form fields that explain what each field is for.,"✅ UX Hints, ✅ Tooltip Logic",Improves understanding by offering quick field explanations on hover or tap.
13,Mobile-Optimized Input Pads,Customize numeric and text input fields to show optimized mobile keypads.,"✅ Mobile UX, ✅ Input Modes",Improves mobile data entry by surfacing appropriate keyboards.
14,Step-Saver Autofill,Allow users to autofill certain sections based on known or saved data.,"✅ Autofill, ✅ UX Simplicity",Saves users time by preloading known values where appropriate.
15,Form Reset Button,Add a button to clear all form fields and reset to default values.,"✅ Form UX, ✅ Reset Logic",Helps users start over or clear inputs without refreshing the page.
16,Input Character Limiter,Restrict input fields to a max number of characters with a visible limit counter.,"✅ Input Control, ✅ UX Clarity",Keeps entries within bounds while showing how many characters remain.
17,Sticky Form Actions,Make submit/reset buttons sticky so they remain visible while scrolling long forms.,"✅ UX Positioning, ✅ Accessibility",Prevents users from hunting for action buttons in long forms.
18,Save and Resume Later,Add an option for users to save form progress and return later to complete.,"✅ State Saving, ✅ UX Continuity",Supports long forms by allowing users to pause and return without losing data.
19,Custom Placeholder Text,"Use helpful placeholder text that teaches what to input (e.g., format or example).","✅ UX Hints, ✅ Input Clarity",Guides users by showing examples inside empty fields.
20,Upload Progress Bar,Show a visual progress bar when uploading files via form input.,"✅ UX Feedback, ✅ File Upload, ✅ Status Indicators",Keeps users informed during potentially long upload processes.
21,Range Slider Input,"Add a slider input for choosing a number within a range (e.g., price, age).","✅ UX Control, ✅ Numeric Input",Provides a tactile way to select values within a set range.
22,Real-Time Input Sync,Sync the same input field across multiple sections of a form in real-time.,"✅ State Syncing, ✅ UX Consistency",Ensures that repeated fields like name or email are consistent everywhere.
23,Editable Summary Preview,Display a form summary preview that lets users review and edit before submitting.,"✅ UX Preview, ✅ Edit Controls",Prevents submission errors by letting users verify their input.
24,Time Picker Dropdown,"Include a dropdown to select time with options for hours, minutes, and AM/PM.","✅ Time Input, ✅ UX Simplicity",Makes time selection faster and easier than manual entry.
25,Inline Form Submission Feedback,Display a brief success or error message inline near the submit button after form send.,"✅ UX Feedback, ✅ State Alerts",Confirms whether submission worked without redirecting or reloading the page.
33,OTP Code Input,Create a 6-digit OTP input with auto-advancing fields and paste-to-fill support.,"✅ UX Input, ✅ Verification Flow, ✅ Auto-Advance",Lets users enter one-time passcodes with seamless tabbing or full-paste support.
34,Signature Capture Field,Add a canvas area where users can draw their signature and submit it with the form.,"✅ Canvas Input, ✅ UX Capture, ✅ Legal Sign-Off",Enables users to digitally sign forms using mouse or touchscreen input.
35,AI Input Rewriter,Let users rewrite their input using AI to improve grammar or tone before submission.,"✅ GenAI, ✅ Text Enhancement, ✅ UX Helper",Supports clearer communication by offering auto-rewording of text inputs.
36,Form Webhook Sender,Send submitted form data to a custom webhook URL for external integration.,"✅ API Hook, ✅ Submission Logic, ✅ Integrations","Makes forms programmable by sending entries to services like Zapier, Slack, or Notion."
37,Input-Based Redirect,Redirect users to different URLs based on specific input selections or values.,"✅ Conditional Logic, ✅ Navigation, ✅ UX Routing",Enables forms to guide users to different next steps depending on what they choose.
