Name,Description
PocketBase,Open Source backend in 1 file
Mistral AI,Configurable AI for all builders.
ChatGPT,AI Chat bot that can help you with anything.
Plausible,Easy to use and privacy-friendly Google Analytics alternative
umami,Effortless analytics and real-time insights.
httpie,HTTPie is making APIs simple and intuitive for those building the tools of our time.
Swagger,Visualize and interact with the API’s resources without having any of the implementation logic in place.
codux,Where designers and developers can collaborate in real-time for faster workflow.
Excalidraw,Great sketching tool.
Postman,Test APIs together.
"Starlight ","Everything you need to build a stellar documentation website. Fast, accessible, and easy-to-use."
Clerk,"More than authentication, Complete User Management."
PostHog,"The single platform to analyze, test, observe, and deploy new features."
Convex,The open-source reactive database for app developers.
Arc,"Here’s a link to download Arc, the browser I was telling you about!
https://arc.net/gift/18c154f0"
Sentry,"Code breaks, fix it faster."
GitHub,Let’s build from here.
Vercel,Your complete platform for the web.
Notion,Write. Plan. Organize.
Figma,"Figma helps design and development teams build great products, together."
Oh My Zsh,"A delightful, open source, community-driven framework for managing your Zsh configuration."
iTerm2,iTerm2 is a replacement for Terminal and the successor to iTerm.
Visual Studio Code,Code Editing. Redefined.
Neovim,hyperextensible Vim-based text editor
