🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Fuzzy Search Matching,15,"✅ Search Logic, ✅ Fuzzy Match, ✅ Error Tolerance",Returns the most relevant results even with small typos or partial inputs.,Use fuzzy search logic to return approximate matches when exact keywords don’t work.
Search Result Preview Cards,5,"✅ Result Cards, ✅ UX Scanability, ✅ CTA",Presents search results in a visually scannable card layout.,"Create a list of search results displayed as preview cards with title, snippet, and CTA."
Dynamic Result Counter,20,"✅ Result Count, ✅ Live Feedback, ✅ UX Clarity",Gives users instant feedback on how many items match their current search settings.,Show a real-time counter of matching results as filters or queries change.
Real-Time Search Filter Chip UI,11,"✅ Filter Chips, ✅ UX Feedback, ✅ Interactive Chips",Shows users which filters are active and lets them remove each individually.,Display active filters as removable chips above the results section.
Search Across Nested Fields,13,"✅ Deep Search Logic, ✅ UX Coverage",Expands the search scope to include more detailed metadata.,Enable users to search across complex/nested data fields (e.g. product + vendor + tag).
Search Result Pagination,6,"✅ Pagination UX, ✅ Result Logic, ✅ Load Optimization",Breaks search results into pages to keep the interface manageable.,Add pagination to search results to avoid overwhelming users with too much content at once.
Search Bar with Category Switch,8,"✅ Category Filter, ✅ Tab UX, ✅ Multi-Search",Lets users choose what type of content they’re searching for.,"Add a segmented control to switch between searching ‘All’, ‘Articles’, or ‘Users’."
Filter by Rating Stars,10,"✅ Rating UX, ✅ Visual Filter, ✅ Interactive UI",Lets users filter content by user-submitted ratings.,Add a star rating filter (1–5) where users can filter results by average rating.
Instant Search Results Grid,12,"✅ Grid UX, ✅ Visual Layout, ✅ Fast Feedback",Presents results visually and quickly as users type.,Display search results instantly in a grid layout with image thumbnails and titles.
Deep Metadata Search,18,"✅ Multi-Field Search, ✅ Deep Metadata, ✅ UX Coverage",Expands search to cover multiple internal data fields with a single input.,"Enable users to search across complex metadata fields like author, category, and tags all at once."
Searchable Dropdown Menu,3,"✅ Dropdown UX, ✅ Live Filter, ✅ Input Enhancer",Filters dropdown options based on user input for easier selection.,"Create a dropdown menu where users can search for items by typing, with live filtering as they type."
Recent Search Suggestions,4,"✅ UX Recall, ✅ Local Storage, ✅ Clickable Suggestions",Displays recent searches for quick reuse or deletion.,"Show a list of recent search terms below the input box, allowing users to re-run or clear them."
Clear All Filters Button,7,"✅ Filter Reset, ✅ UX Simplicity",Gives users an easy way to remove all filters in one click.,Include a single button to reset all applied filters back to default.
Mobile-Friendly Filter Drawer,14,"✅ Mobile UX, ✅ Drawer UI, ✅ Responsive Filters",Optimizes filtering UI for small-screen users.,Add a bottom sheet or side drawer for filters on mobile screens to save space.
Spreadsheet-Style Filter Table,19,"✅ Table UX, ✅ Column Filters, ✅ Data Management","Adds filters to each column header, letting users narrow down data quickly.",Create a data table where users can filter each column individually like a spreadsheet.
Filterable Data Table,16,"✅ Data Table, ✅ Column Filter, ✅ UX Control",Lets users apply filters directly within each column of a table.,Add filterable columns to a data table where users can type to filter each column individually.
Faceted Search Panel,1,"✅ Multi-Filter UX, ✅ Real-Time Update, ✅ Filter Logic",Lets users narrow down search results by selecting from various filter options.,"Create a panel with multiple filters (price, category, rating) that update search results in real time."
Search Input with Keyboard Shortcuts,2,"✅ Keyboard UX, ✅ Command Trigger, ✅ Accessibility",Lets users open a search bar quickly using a keyboard shortcut for smoother navigation.,Add a search input that can be triggered with a keyboard shortcut (e.g. Cmd+K). Include a close button.
Fuzzy Match Finder,17,"✅ Fuzzy Logic, ✅ Input Flexibility, ✅ Error Tolerance",Returns likely matches even if users mistype or only partially remember a keyword.,"Use fuzzy search to match user input with approximate results — useful for typos, abbreviations, or partial matches."
Search with Spelling Suggestions,9,"✅ Smart Suggestions, ✅ Error Recovery, ✅ UX Rescue",Improves search by catching typos and offering helpful alternatives.,"If the search returns no results, suggest alternate spellings or close matches."
