🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Content Lock After Publish,56,"✅ Content Lock, ✅ UX Safety, ✅ Edit Protection",Prevents changes to finalized content unless explicitly unlocked by the user.,Make published posts read-only by default to prevent accidental edits.
Newsletter Publishing Integration,48,"✅ Email API, ✅ Publishing Workflow, ✅ Newsletter Sync",Turns written content into newsletter format with one-click integration.,Enable users to publish posts directly to a mailing list like Substack or Mailchimp.
AI-Powered Summary Cards,57,"✅ GenAI, ✅ Content Summary, ✅ Reader Preview",Helps readers get the gist of long content instantly using AI-powered highlights.,Generate a TL;DR summary card using AI and display it above the content for quick preview.
Code Snippet Block,44,"✅ Code Display, ✅ Copy Button, ✅ UX Dev Friendly",Ideal for tutorials or tech posts that need code formatting.,Add syntax-highlighted code blocks with copy-to-clipboard buttons.
Callout Block,38,"✅ Visual Block, ✅ UX Highlight, ✅ Rich Content",Draws reader attention to important pieces of information within a post.,"Add a callout component to highlight quotes, warnings, or tips in the middle of content."
Author Notes Sidebar,54,"✅ Internal Notes, ✅ UX Sidebar, ✅ Private Annotations","Useful for reminders, ideas, or team notes while working on a draft.",Add a side panel where the author can leave internal notes not visible to readers.
Content Gallery,20,"✅ UX Grid, ✅ Post Preview, ✅ Responsive Layout",A visual layout for browsing content in card-style view.,Display published posts in a responsive gallery grid with thumbnails and titles.
Blog Post Composer,2,"✅ UX Form, ✅ Tagging, ✅ Content Drafting",A content-writing block for drafting and categorizing blog articles easily.,"Create a blog post composition block with title input, body editor, and category selection."
Content Category Manager,25,"✅ Category Input, ✅ UX Organization, ✅ Filterable Content",Improves structure by letting users group content into labeled categories.,Let users organize content into custom categories for easier browsing and filtering.
Publish Toggle,4,"✅ Toggle UX, ✅ Content Visibility, ✅ Admin Controls",Lets users control whether content is live or hidden with a simple switch.,Add a publish/unpublish toggle to switch content visibility with one click.
Draft Collaboration Invite,52,"✅ Collaboration, ✅ UX Sharing, ✅ Access Control","Simplifies co-editing by allowing secure, temporary access to unpublished drafts.",Let users invite collaborators to edit a draft by sharing a private link or email invite.
Auto-Save Draft,3,"✅ UX Autosave, ✅ State Persistence, ✅ Draft Mode",Keeps users from losing progress by saving work-in-progress drafts in real time.,Enable automatic saving of post drafts every few seconds without user needing to click save.
Content Export Options,55,"✅ Export Tools, ✅ File Generation, ✅ Content Portability",Gives users flexibility to repurpose content in multiple formats outside the app.,"Let users export their content as PDF, Markdown, or HTML with formatting preserved."
Inline Comments,18,"✅ Annotation, ✅ UX Feedback, ✅ Editing Collaboration",A collaborative tool for giving or receiving targeted feedback inside content.,Enable users to add comments on specific lines or sections of the content.
Simple Poll Embed,46,"✅ Interactive Poll, ✅ UX Voting, ✅ Engagement",Boosts interaction by letting readers vote on a simple question.,Add a short poll with multiple-choice answers and live results.
Content Template Selector,17,"✅ Templates, ✅ UX Selection, ✅ Starter Content",Speeds up writing by giving users a starting structure to modify.,Provide users with pre-built content templates they can load and customize.
Post History Timeline,41,"✅ Timeline View, ✅ Edit History, ✅ UX Detail",Makes it easy to see how content has changed over time.,Visualize the evolution of a post with timestamps of edits and publish dates.
Content Flag for Review,58,"✅ UX Feedback, ✅ Moderation, ✅ Reader Flag",Enables community-led quality control by letting users flag questionable content.,Add a flagging system where readers can mark posts for review due to issues or inaccuracies.
Content Duplication Detector,30,"✅ Content Analysis, ✅ UX Alert, ✅ Similarity Check",Helps catch repeated content that may confuse readers or impact SEO.,Scan post content for accidental duplication from other posts and flag it.
Post Status Indicator,26,"✅ Status Label, ✅ UX Indicator, ✅ Content State",Helps users quickly see the current status of each post with clear visual cues.,"Show a colored label that indicates if a post is a draft, scheduled, or published."
Estimated Earnings Calculator,59,"✅ Analytics, ✅ Revenue Estimate, ✅ Engagement Metrics",Lets creators gauge how much a post might earn based on current traffic or interaction.,Show an estimated earning potential based on post engagement or ad views.
Table of Contents Generator,39,"✅ Anchor Links, ✅ UX Navigation, ✅ Content Scan",Improves content navigation by letting readers jump to different sections.,Automatically create a clickable table of contents from section headings.
Reading Mode Toggle,35,"✅ UX Toggle, ✅ Dark Mode, ✅ Reader Experience",Improves reading comfort with a simple light/dark mode toggle.,Let users switch between light and dark reading modes inside the content area.
Custom Slug Editor,31,"✅ SEO Control, ✅ URL Logic, ✅ Slug Editor",Gives users control over the URL that points to their content.,Let users manually customize the URL slug for SEO or branding purposes.
Post Reaction Bar,50,"✅ Engagement UX, ✅ Emoji Feedback, ✅ User Input",Encourages lightweight reader engagement through emoji-based reactions.,"Let users react to content with emoji or quick feedback buttons (e.g., 👍 ❤️ 👎)."
Reading Progress Bar,45,"✅ Scroll Tracker, ✅ UX Feedback, ✅ Reader Progress",Gives visual feedback on how much of the post remains.,Show a slim progress bar at the top that fills as the reader scrolls.
Draft Reminder Notification,21,"✅ Notifications, ✅ UX Reminder, ✅ Draft State",Encourages users to finish and publish content they’ve started.,Send a reminder if a user has a draft sitting for more than 3 days.
Post Visibility Settings,23,"✅ Visibility Control, ✅ UX Dropdown, ✅ Content Access",Gives users flexible control over who can see their content.,"Let users choose if their content is public, private, or unlisted."
One-Click Publish to Social,15,"✅ API Integration, ✅ Social UX, ✅ Sharing Tools",Simplifies the process of distributing content to multiple platforms.,"Add social sharing buttons that publish the post to Twitter, LinkedIn, or Facebook."
Save as Draft Button,10,"✅ Draft Save, ✅ UX Buttons, ✅ Content State",Gives users control to save posts in-progress and return to them later.,Add a separate button that allows users to save their work without publishing.
Collaborator Attribution,34,"✅ Team Input, ✅ UX Credits, ✅ Content Metadata",Gives credit to multiple people involved in creating the content.,"Add a list of contributors for a post, including their roles or parts written."
Content Preview Mode,16,"✅ Preview Toggle, ✅ UX Mode Switch, ✅ Live Rendering",Lets users preview how content will look before they publish it.,Add a toggle to switch between editing and previewing how the content will appear when published.
SEO Metadata Panel,8,"✅ SEO Input, ✅ Metadata, ✅ UX Panel",Optimizes posts for search engines by letting users add key SEO details.,"Add input fields for SEO title, description, and keywords below the main editor."
Content Version History,14,"✅ Version Control, ✅ UX Panel, ✅ Content Diff",Keeps track of past edits and lets users restore earlier versions.,"Add a history panel to view, compare, and revert to previous versions of content."
Featured Image Selector,9,"✅ Image Upload, ✅ Crop Tool, ✅ Visual Picker",Adds a thumbnail or visual identity to posts with an easy-to-use image selector.,Let users pick and crop a featured image for their content.
Related Posts Generator,32,"✅ Content Matching, ✅ UX Recommendations, ✅ Tag Logic",Helps readers explore more content related to what they just read.,Show a list of similar posts at the bottom using tag and topic matching.
AI Style Rewriter,36,"✅ GenAI, ✅ Content Rewriting, ✅ Tone Control","Helps writers transform their draft into formal, casual, or playful tone with AI.",Let users rewrite their content in a different tone or voice using AI.
Embedded File Viewer,42,"✅ File Viewer, ✅ UX Embed, ✅ Readable Media",Lets users access attached documents without needing to download them.,Allow embedding of PDFs or docs for users to view directly inside the post.
Post Analytics Snapshot,33,"✅ Analytics, ✅ UX Metrics, ✅ Engagement Stats",Shows how well a post is performing using simple visual stats.,"Display view count, likes, and average read time under each published post."
Post Comparison Tool,43,"✅ Content Diff, ✅ UX Split View, ✅ Edit History",Useful for reviewing revisions or comparing drafts before publishing.,Let users compare two versions of a post side-by-side with highlights of differences.
Author Credit Block,29,"✅ UX Profile, ✅ Metadata, ✅ Visual Block",Shows who wrote the content with an optional mini bio and profile picture.,"Display author name, bio, and avatar below each post automatically."
Rich Text Editor,1,"✅ UX Editor, ✅ Text Formatting, ✅ Content Input",A beginner-friendly editor that lets users format and write content like in Google Docs or Notion.,"Add a rich text editor that supports headings, bold, italic, lists, and links."
Content Tagger,7,"✅ Tag Input, ✅ UX Filtering, ✅ Metadata",Improves discoverability by letting users add descriptive tags to content.,Create a field where users can tag their content for easier discovery and filtering.
Archived Content Badge,40,"✅ UX Badge, ✅ Content State, ✅ Visual Alert",Helps readers know that the content may no longer be current or accurate.,Mark outdated or deprecated posts with an 'Archived' label.
Cover Image Carousel,27,"✅ Image Upload, ✅ Carousel UX, ✅ Image Selector",Gives users a way to preview and pick the best cover image from a set.,Allow users to upload multiple cover images and choose one using a carousel viewer.
Word Count Tracker,11,"✅ Live Counter, ✅ UX Feedback, ✅ Writing Metrics",Helps writers stay within limits or track their writing pace as they go.,Show a live word count under the text area as users type.
Simple Markdown Editor,12,"✅ Markdown Support, ✅ UX Preview, ✅ Text Editing",Enables writers to format content using markdown syntax with a real-time preview.,Add a markdown editor with live preview for text formatting using symbols.
Title Uniqueness Checker,28,"✅ Validation, ✅ UX Warning, ✅ Duplicate Detection",Improves content quality by preventing repetitive or confusing titles.,Warn users if their post title is too similar to existing posts to avoid duplicates.
Link Embed Preview,51,"✅ Link Preview, ✅ Metadata Fetch, ✅ UX Enhancement","Makes external links more engaging by showing a visual preview like title, image, and description.",Automatically fetch and display a preview for any external link added to the content.
Collaborative Writing Mode,13,"✅ Real-Time Editing, ✅ Multi-User Sync, ✅ Collaboration",A shared writing space where multiple people can contribute simultaneously.,Let multiple users edit the same document in real-time with visible cursors.
Reading Time Estimator,19,"✅ Read Time, ✅ UX Hint, ✅ Reader Experience",Lets readers know how long it will take to read a post before clicking.,Show an estimated reading time for the post based on word count.
Post Scheduling,5,"✅ Date Picker, ✅ Time Logic, ✅ Publish Scheduler",Helps users plan ahead by scheduling content to publish later.,Let users pick a future time/date for their content to go live automatically.
Quick Publish Shortcut,24,"✅ UX Shortcut, ✅ Publish Action, ✅ Productivity",Boosts efficiency by allowing keyboard-based publishing.,"Add a keyboard shortcut (e.g., CMD + Enter) to instantly publish the content."
Media Uploader,6,"✅ File Upload, ✅ Preview UX, ✅ Drag-and-Drop",A visual file upload tool for adding media to posts and pages.,Add an image/video uploader with preview and drag-and-drop support.
Multi-Language Switcher,47,"✅ UX Switcher, ✅ Content Localization, ✅ Translation",Makes content accessible to a wider audience with easy language toggles.,Allow users to switch between different language versions of the content.
Content Approval Workflow,37,"✅ Workflow Logic, ✅ UX State, ✅ Content Review",Useful for teams where content needs to be reviewed before publishing.,"Add a status flow where content can be marked 'Needs Review', 'Approved', or 'Rejected'."
Waitlist Signup + Referral Tracker,61,"✅ Signup Form, ✅ Referral Link, ✅ Progress Tracker",Lets users join a waitlist while earning rewards for referring others with a personal invite link.,Create a waitlist signup form that generates a unique referral link for each user and tracks the number of referrals they've made.
Content Mood Tagger,60,"✅ GenAI, ✅ Content Analysis, ✅ Mood Detection",Automatically adds vibe-based tags to improve discoverability and sorting.,"Use AI to tag the mood of the content (e.g., inspirational, technical, humorous)."
Custom Font Selector,53,"✅ Typography Control, ✅ UX Personalization, ✅ Style Options",Lets creators personalize their content's appearance with font style choices.,"Allow users to change the font of their content from a dropdown of modern, web-safe fonts."
Comment Thread with Replies,62,"✅ Nested UI, ✅ Timestamps, ✅ Interaction UX",Enables readers to leave feedback or join conversations with threaded replies and user info.,"Add a comment section with support for nested replies, avatars, timestamps, and emoji reactions."
AI Content Enhancer,49,"✅ GenAI, ✅ UX Suggestions, ✅ Text Editing",Helps improve writing clarity or tone with targeted AI suggestions.,Add a button that suggests clearer or punchier phrasing for selected text using AI.
Audio Narration Upload,22,"✅ File Upload, ✅ Audio Player, ✅ Accessibility","Adds audio playback to posts, offering an alternative reading mode.",Let users upload an audio version of their post for podcast-style playback.
