#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,AI Text Rewriter,"Create a component that rewrites user-submitted text in a different tone (e.g., professional, casual, humorous).","✅ GenAI, ✅ Tone Control, ✅ Text UX","Lets users transform their writing style by selecting a tone. Ideal for emails, bios, or content tweaks."
2,Conversational AI Chat Box,Add a chat interface that lets users ask questions or interact with a friendly AI assistant.,"✅ GenAI, ✅ Chat UI, ✅ Realtime Feedback","Provides a chatbot-style interface for asking questions, brainstorming, or getting suggestions from AI."
3,AI Alt Text Generator,Let users upload an image and generate descriptive alt text using AI for accessibility.,"✅ Image Upload, ✅ GenAI, ✅ Accessibility",Makes your site more accessible by automatically describing images with AI-generated alt text.
4,Voice-to-Text Note Taker,Build a voice input that converts spoken words into text notes using AI.,"✅ Voice Input, ✅ GenAI, ✅ Notetaking UX",Users can speak their thoughts and have them transcribed into editable notes.
5,AI-Based Code Explainer,Let users paste code and receive a plain-English explanation of what it does.,"✅ GenAI, ✅ Code Parsing, ✅ Learning UX","Helps non-technical users understand what a block of code does, line by line or in summary."
6,AI Resume Reviewer,Upload a resume and let AI provide suggestions for improvements based on job role input.,"✅ GenAI, ✅ File Upload, ✅ UX Suggestions","Analyze resumes and get personalized suggestions on structure, tone, or missing elements."
7,Content Sentiment Analyzer,"Paste in user-generated content and let AI return the tone (e.g., positive, neutral, negative).","✅ GenAI, ✅ Sentiment Logic, ✅ Text Input",Detects emotional tone in text and surfaces insight about content vibe or polarity.
8,AI FAQ Generator,Let users submit a long-form article or product description and generate likely FAQs.,"✅ GenAI, ✅ Content Parsing, ✅ UX Writing",Automatically creates common questions and answers based on your content.
9,AI Profile Bio Builder,Build a form that helps users describe themselves and auto-generates a short bio using AI.,"✅ GenAI, ✅ Form UX, ✅ Personalization",Creates polished bios for personal or professional profiles based on user input.
10,AI Meeting Notes Generator,Allow users to upload a meeting recording or transcript and receive concise action-item notes.,"✅ GenAI, ✅ File Upload, ✅ Summarization",Generates summary notes and key takeaways from long meeting transcripts or recordings.
11,AI-Powered Form Auto-Filler,Let users describe a form in plain language and use AI to pre-fill the fields with likely data.,"✅ GenAI, ✅ Form UX, ✅ Autofill Logic",Saves time by automatically filling out forms based on user prompts like 'a job application form for a designer.'
12,AI Persona Generator,"Generate a fictional persona with name, bio, job, and avatar based on a short prompt like 'young eco-entrepreneur'.","✅ GenAI, ✅ Profile UX, ✅ Avatar Placeholder",Builds mock personas for testing or storytelling based on user-provided themes.
13,Text Complexity Simplifier,Add a tool that simplifies complex text into beginner-friendly language using AI.,"✅ GenAI, ✅ Text UX, ✅ Learning Tools",Helps users understand complex material by generating a simplified version of the input text.
14,GenAI Email Generator,"Let users select a scenario (e.g., job inquiry, apology, update) and generate a draft email using AI.","✅ GenAI, ✅ Form UX, ✅ Email Copy","Drafts useful emails based on tone, scenario, and purpose — ready for editing or sending."
15,AI Content Rephraser with Options,Paste any paragraph and use AI to offer three reworded versions with varying tones or lengths.,"✅ GenAI, ✅ Text Variants, ✅ UX Picker","Gives multiple content alternatives at once, letting users choose the best fit for their needs."
16,AI Mood-Based Playlist Curator,Let users describe their current mood and generate a playlist name and song suggestions using AI.,"✅ GenAI, ✅ Mood UX, ✅ Content Ideas","Fun, creative tool that generates themed playlists from mood prompts like 'rainy afternoon vibes.'"
17,Image Captioning Assistant,Let users upload an image and receive three clever or emotional captions generated by AI.,"✅ GenAI, ✅ Image Upload, ✅ UX Writing",Helps users come up with social media-ready captions that match the tone of their image.
18,Speech Style Converter,"Paste a speech or transcript and use AI to convert it to formal, casual, or persuasive tone.","✅ GenAI, ✅ Speech UX, ✅ Tone Control",Transforms any talk or transcript into the desired style for repurposing or publishing.
19,Creative Story Prompt Expander,Let users enter a one-line story idea and use AI to generate a paragraph-length scene starter.,"✅ GenAI, ✅ Writing UX, ✅ Storycraft","Boosts creativity by expanding short ideas into vivid, prompt-ready narrative openers."
20,AI-Enhanced Decision Helper,Create a tool where users enter a dilemma and get pros/cons or suggested paths from AI.,"✅ GenAI, ✅ Decision UX, ✅ Logic Framework",Offers structured advice and alternate paths for simple personal or creative decisions.
