#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Content Scheduling Calendar,Add a calendar-based scheduler to let users pick future publish dates for their posts.,"✅ Calendar UX, ✅ Scheduling Logic",Lets users schedule future content by picking a date from a calendar.
2,Event Calendar View,Build a calendar UI that shows events with color codes and lets users click to see event details.,"✅ Calendar UX, ✅ Event Modal",Displays a full calendar with clickable events and color-coded categories.
3,Create Event + Invite Flow,"Add a form to create an event with title, date, location, and invite users via email.","✅ Event Form, ✅ Invite Logic",Lets users create events and invite others with email notifications.
4,Availability Picker,Create a calendar UI where users can select an available time slot and confirm the choice.,"✅ Time Picker, ✅ Confirm UX",Allows users to pick and confirm a time slot from a calendar.
5,Booking Confirmation Page,"Design a confirmation page after booking with time, date, and options to modify or cancel.","✅ Confirmation, ✅ Modify UX",Shows booking confirmation and options to change or cancel.
6,Recurring Event Scheduler,"Create a scheduling UI where users can set daily, weekly, or monthly recurrence rules for an event.","✅ Repeat Logic, ✅ UX",Supports recurring events with repeat rule configuration.
7,Event RSVP Flow,"Design a flow where users can RSVP to an event, see live attendee count, and update their status.","✅ RSVP Logic, ✅ Realtime Update",Enables event RSVPs and shows attendance updates in real time.
8,Meeting Scheduler + Confirmation,Build a scheduler where users pick a time slot and receive an email confirmation + calendar invite.,"✅ Scheduler, ✅ Email Trigger, ✅ Calendar Sync",Schedules meetings and sends confirmation emails with calendar invites.
9,Cancel or Reschedule Booking,"Build a booking management block that allows users to view, reschedule, or cancel a scheduled meeting. Notify them on changes.","✅ Modify Booking, ✅ Notifications, ✅ UX",Lets users reschedule or cancel bookings and sends notifications.
10,Weekly Agenda Builder,Create a block where users can plan their weekly tasks on a Monday–Sunday layout. Include color-coded task types.,"✅ Weekly Layout, ✅ Task Labels, ✅ UX Planning",Helps users visually organize tasks for each day of the week with customizable color tags.
11,Team Availability Grid,Display a grid showing the available hours of all team members for a selected week.,"✅ Team View, ✅ Availability Logic, ✅ Grid UX",Enables scheduling around shared availability by showing a team’s free and busy times.
12,Time Zone Scheduler,Add a timezone-aware meeting scheduler that adjusts suggested times based on each user’s local time.,"✅ Timezone Conversion, ✅ UX Adaptation, ✅ Scheduler Logic",Ensures meetings are fairly scheduled across global time zones.
13,Drag‑to‑Schedule UI,Build a calendar where users can click and drag across time blocks to create or modify events.,"✅ Drag Logic, ✅ Calendar UX, ✅ UX Feedback","Users can visually block out time using drag gestures, making scheduling more intuitive."
14,Event Reminder Generator,Create a block that lets users set reminders for upcoming events via email or in-app alerts.,"✅ Reminder Logic, ✅ Notification, ✅ UX Alerts",Helps users avoid missing events by setting proactive reminders.
15,Shared Calendar Embed,Embed a shared calendar view that others can see in real-time but not edit.,"✅ Read-only Calendar, ✅ Shared View, ✅ Embed UX",Lets teams or clients view a shared calendar without granting edit access.
16,Calendar Heatmap,Generate a heatmap showing the busiest and freest days based on existing calendar data.,"✅ Data Analysis, ✅ Calendar Overlay, ✅ Heatmap UX",Visually highlights peak and low activity periods for better scheduling awareness.
17,Booking Slots Generator,Auto-generate a list of available booking slots based on defined working hours and current appointments.,"✅ Auto Slotting, ✅ Scheduling Logic, ✅ Availability UX",Lets users choose from open slots without manual time setup.
18,One‑Click Rescheduler,Let users reschedule an existing appointment by selecting a new slot and confirming the change in one click.,"✅ UX Flow, ✅ Modify Booking, ✅ Confirmation UX",Simplifies rescheduling by skipping forms and approvals.
19,Holiday Blackout Dates,Add a rule-based calendar block where admins can define holidays or unavailable dates for all bookings.,"✅ Admin Control, ✅ Scheduling Logic, ✅ Date Rules",Prevents users from booking on unavailable or restricted days.
20,Daily Planning View,Design a focused day-view calendar with hour blocks and to-do integration.,"✅ Daily UX, ✅ Task List, ✅ Time Block UI",Ideal for users managing day-to-day tasks and meetings in detail.
21,Calendar with Notes,Let users attach notes to specific days or events for extra context.,"✅ Note Field, ✅ Event Context, ✅ Calendar UX",Improves scheduling clarity by allowing annotations per day or event.
22,Mini Calendar Widget,"Build a compact calendar widget that shows current date, upcoming events, and quick add button.","✅ Compact UI, ✅ Upcoming Events, ✅ Quick Action",Useful for sidebar dashboards or mobile views with limited space.
23,Smart Time Suggestion,Create a block that suggests optimal meeting times based on historical user availability and preferences.,"✅ Smart Logic, ✅ Time Suggestions, ✅ AI-Like UX",Enhances productivity by proposing times users are most likely to accept.
24,Recurring Task Manager,Design a task scheduler where users can set recurring tasks with frequency and skip rules.,"✅ Task Flow, ✅ Recurrence Logic, ✅ Skip Options",Keeps recurring responsibilities manageable with flexible task repetition rules.
25,Guest Booking Form,Create a booking interface where guests can choose a slot and submit name + email without an account.,"✅ Guest Access, ✅ Simple Form, ✅ Email Capture",Supports external scheduling by allowing non-users to book without signing up.
