#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Team Onboarding Checklist,Design an onboarding checklist specific to new team members with due dates and progress tracking.,"✅ Team Onboarding, ✅ Checklist UX, ✅ Progress Tracker",A collaborative checklist to help new hires track their onboarding tasks with due dates and visual progress.
2,Shared Goals Tracker,Add a component where teams can define shared goals and track progress visually by member contributions.,"✅ Shared Goals, ✅ Visual Tracking, ✅ UX Collaboration",Helps teams stay aligned by tracking progress toward common goals and showing who contributed to what.
3,Team Shoutout Wall,Create a space for team members to give kudos or recognition to each other with emojis or tags.,"✅ Peer Feedback, ✅ Emoji UX, ✅ Recognition UI",A positive feedback wall that lets teammates publicly recognize each other’s contributions.
4,Cross-Team Calendar,"Display a shared calendar that shows meetings, deadlines, and leave across different teams.","✅ Shared Calendar, ✅ Scheduling UX, ✅ Multi-Team View",Keeps everyone on the same page by surfacing key events and timelines across teams.
5,Team Chat Sidebar,"Embed a lightweight team chat widget that supports emojis, threading, and user mentions.","✅ Realtime Chat, ✅ Mentions, ✅ Sidebar UI",A quick-access chat feature embedded in the app to keep communication flowing within teams.
6,Project Role Matrix Viewer,Display a matrix showing team members and their roles across projects or pods.,"✅ Role Matrix, ✅ Table UI, ✅ Team Structure",A grid-based view showing who’s doing what across different projects — great for transparency.
7,Weekly Team Poll,"Create a weekly poll UI to gather quick team input on topics like morale, blockers, or retros.","✅ Poll UX, ✅ Voting Logic, ✅ Feedback Loop",A recurring input tool to quickly gauge team sentiment or collect decisions asynchronously.
8,Team Member Availability Board,"Add a board showing when each team member is available, out of office, or working remotely.","✅ Availability UI, ✅ Status Logic, ✅ UX Sync",A visual reference for team members’ work status — useful for remote or hybrid teams.
9,Async Video Update Board,Let team members post short video updates that others can watch and react to with comments or emojis.,"✅ Async Video, ✅ Commenting, ✅ UX Playback",Supports asynchronous updates through short videos for remote-first teams.
10,Team Feedback Collector,Add a form for collecting structured team feedback anonymously or openly after sprints or projects.,"✅ Feedback UX, ✅ Anonymous Mode, ✅ Form Logic",A lightweight feedback tool to reflect on projects or gather team input with privacy options.
11,Team Announcements Feed,Add a top-down feed where admins or leads can post announcements. Support pinning and timestamps.,"✅ Admin Broadcast, ✅ Feed UI, ✅ Pinned Posts",A centralized space for posting and viewing team-wide announcements or updates.
12,Collaborator Typing Indicator,Show real-time typing indicators when teammates are writing in shared notes or chat boxes.,"✅ Presence UX, ✅ Realtime Sync, ✅ Typing Feedback",Helps create a sense of presence by showing when teammates are typing in shared spaces.
13,Team Wiki Viewer,"Display a structured team wiki with editable sections, version history, and internal links.","✅ Documentation UX, ✅ Edit History, ✅ Linkable Pages","A living knowledge base for teams to document how things work, with collaborative editing."
14,Project Assignment Board,Let leads assign team members to projects via a drag-and-drop board with cards per project.,"✅ Assignment UX, ✅ Drag & Drop, ✅ Card UI",A visual board to manage who’s working on what — ideal for project managers.
15,Team Roles & Permissions Panel,Create a panel for admins to view and adjust team roles and access levels.,"✅ Role Management, ✅ Admin UX, ✅ Permissions Logic",Centralized place to manage who can do what across the workspace.
16,Team Mood Tracker,Add a daily mood check-in with emoji-based responses. Show anonymized results in a graph.,"✅ Mood UX, ✅ Emoji Input, ✅ Anonymous Results","A pulse check tool to monitor team morale over time in a safe, simple way."
17,Workload Heatmap,Display a heatmap of task or ticket assignments across the team to prevent overload.,"✅ Heatmap UI, ✅ Task Load, ✅ Team Distribution",Visualizes which team members are overloaded or underutilized at a glance.
18,Private 1:1 Feedback Form,Add a form for private 1-on-1 feedback between team members. Notify only recipient.,"✅ Private Form, ✅ UX Feedback, ✅ Notification Logic",Encourages direct feedback while maintaining confidentiality and clarity.
19,Team Calendar Exporter,"Let users export shared team events or schedules to their external calendar app (Google, Outlook).","✅ Calendar Sync, ✅ Export UX, ✅ External Integration",Bridges internal team schedules with external personal calendars via export tools.
20,Collaborator Presence Dots,Show colored dots or initials to indicate which team members are active in a doc or task view.,"✅ Presence Indicator, ✅ UX Dots, ✅ Real-Time View",Shows who’s currently viewing or editing something — promotes real-time awareness.
