#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Faceted Search Panel,"Create a panel with multiple filters (price, category, rating) that update search results in real time.","✅ Multi-Filter UX, ✅ Real-Time Update, ✅ Filter Logic",Lets users narrow down search results by selecting from various filter options.
2,Search Input with Keyboard Shortcuts,Add a search input that can be triggered with a keyboard shortcut (e.g. Cmd+K). Include a close button.,"✅ Keyboard UX, ✅ Command Trigger, ✅ Accessibility",Lets users open a search bar quickly using a keyboard shortcut for smoother navigation.
3,Searchable Dropdown Menu,"Create a dropdown menu where users can search for items by typing, with live filtering as they type.","✅ Dropdown UX, ✅ Live Filter, ✅ Input Enhancer",Filters dropdown options based on user input for easier selection.
4,Recent Search Suggestions,"Show a list of recent search terms below the input box, allowing users to re-run or clear them.","✅ UX Recall, ✅ Local Storage, ✅ Clickable Suggestions",Displays recent searches for quick reuse or deletion.
5,Search Result Preview Cards,"Create a list of search results displayed as preview cards with title, snippet, and CTA.","✅ Result Cards, ✅ UX Scanability, ✅ CTA",Presents search results in a visually scannable card layout.
6,Search Result Pagination,Add pagination to search results to avoid overwhelming users with too much content at once.,"✅ Pagination UX, ✅ Result Logic, ✅ Load Optimization",Breaks search results into pages to keep the interface manageable.
7,Clear All Filters Button,Include a single button to reset all applied filters back to default.,"✅ Filter Reset, ✅ UX Simplicity",Gives users an easy way to remove all filters in one click.
8,Search Bar with Category Switch,"Add a segmented control to switch between searching ‘All’, ‘Articles’, or ‘Users’.","✅ Category Filter, ✅ Tab UX, ✅ Multi-Search",Lets users choose what type of content they’re searching for.
9,Search with Spelling Suggestions,"If the search returns no results, suggest alternate spellings or close matches.","✅ Smart Suggestions, ✅ Error Recovery, ✅ UX Rescue",Improves search by catching typos and offering helpful alternatives.
10,Filter by Rating Stars,Add a star rating filter (1–5) where users can filter results by average rating.,"✅ Rating UX, ✅ Visual Filter, ✅ Interactive UI",Lets users filter content by user-submitted ratings.
11,Real-Time Search Filter Chip UI,Display active filters as removable chips above the results section.,"✅ Filter Chips, ✅ UX Feedback, ✅ Interactive Chips",Shows users which filters are active and lets them remove each individually.
12,Instant Search Results Grid,Display search results instantly in a grid layout with image thumbnails and titles.,"✅ Grid UX, ✅ Visual Layout, ✅ Fast Feedback",Presents results visually and quickly as users type.
13,Search Across Nested Fields,Enable users to search across complex/nested data fields (e.g. product + vendor + tag).,"✅ Deep Search Logic, ✅ UX Coverage",Expands the search scope to include more detailed metadata.
14,Mobile-Friendly Filter Drawer,Add a bottom sheet or side drawer for filters on mobile screens to save space.,"✅ Mobile UX, ✅ Drawer UI, ✅ Responsive Filters",Optimizes filtering UI for small-screen users.
15,Fuzzy Search Matching,Use fuzzy search logic to return approximate matches when exact keywords don’t work.,"✅ Search Logic, ✅ Fuzzy Match, ✅ Error Tolerance",Returns the most relevant results even with small typos or partial inputs.
16,Filterable Data Table,Add filterable columns to a data table where users can type to filter each column individually.,"✅ Data Table, ✅ Column Filter, ✅ UX Control",Lets users apply filters directly within each column of a table.
17,Fuzzy Match Finder,"Use fuzzy search to match user input with approximate results — useful for typos, abbreviations, or partial matches.","✅ Fuzzy Logic, ✅ Input Flexibility, ✅ Error Tolerance",Returns likely matches even if users mistype or only partially remember a keyword.
18,Deep Metadata Search,"Enable users to search across complex metadata fields like author, category, and tags all at once.","✅ Multi-Field Search, ✅ Deep Metadata, ✅ UX Coverage",Expands search to cover multiple internal data fields with a single input.
19,Spreadsheet-Style Filter Table,Create a data table where users can filter each column individually like a spreadsheet.,"✅ Table UX, ✅ Column Filters, ✅ Data Management","Adds filters to each column header, letting users narrow down data quickly."
20,Dynamic Result Counter,Show a real-time counter of matching results as filters or queries change.,"✅ Result Count, ✅ Live Feedback, ✅ UX Clarity",Gives users instant feedback on how many items match their current search settings.
