🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Recurring Task Manager,24,"✅ Task Flow, ✅ Recurrence Logic, ✅ Skip Options",Keeps recurring responsibilities manageable with flexible task repetition rules.,Design a task scheduler where users can set recurring tasks with frequency and skip rules.
Daily Planning View,20,"✅ Daily UX, ✅ Task List, ✅ Time Block UI",Ideal for users managing day-to-day tasks and meetings in detail.,Design a focused day-view calendar with hour blocks and to-do integration.
Time Zone Scheduler,12,"✅ Timezone Conversion, ✅ UX Adaptation, ✅ Scheduler Logic",Ensures meetings are fairly scheduled across global time zones.,Add a timezone-aware meeting scheduler that adjusts suggested times based on each user’s local time.
Guest Booking Form,25,"✅ Guest Access, ✅ Simple Form, ✅ Email Capture",Supports external scheduling by allowing non-users to book without signing up.,Create a booking interface where guests can choose a slot and submit name + email without an account.
Holiday Blackout Dates,19,"✅ Admin Control, ✅ Scheduling Logic, ✅ Date Rules",Prevents users from booking on unavailable or restricted days.,Add a rule-based calendar block where admins can define holidays or unavailable dates for all bookings.
Availability Picker,4,"✅ Time Picker, ✅ Confirm UX",Allows users to pick and confirm a time slot from a calendar.,Create a calendar UI where users can select an available time slot and confirm the choice.
Calendar Heatmap,16,"✅ Data Analysis, ✅ Calendar Overlay, ✅ Heatmap UX",Visually highlights peak and low activity periods for better scheduling awareness.,Generate a heatmap showing the busiest and freest days based on existing calendar data.
Event Reminder Generator,14,"✅ Reminder Logic, ✅ Notification, ✅ UX Alerts",Helps users avoid missing events by setting proactive reminders.,Create a block that lets users set reminders for upcoming events via email or in-app alerts.
Meeting Scheduler + Confirmation,8,"✅ Scheduler, ✅ Email Trigger, ✅ Calendar Sync",Schedules meetings and sends confirmation emails with calendar invites.,Build a scheduler where users pick a time slot and receive an email confirmation + calendar invite.
Booking Slots Generator,17,"✅ Auto Slotting, ✅ Scheduling Logic, ✅ Availability UX",Lets users choose from open slots without manual time setup.,Auto-generate a list of available booking slots based on defined working hours and current appointments.
Event RSVP Flow,7,"✅ RSVP Logic, ✅ Realtime Update",Enables event RSVPs and shows attendance updates in real time.,"Design a flow where users can RSVP to an event, see live attendee count, and update their status."
One‑Click Rescheduler,18,"✅ UX Flow, ✅ Modify Booking, ✅ Confirmation UX",Simplifies rescheduling by skipping forms and approvals.,Let users reschedule an existing appointment by selecting a new slot and confirming the change in one click.
Cancel or Reschedule Booking,9,"✅ Modify Booking, ✅ Notifications, ✅ UX",Lets users reschedule or cancel bookings and sends notifications.,"Build a booking management block that allows users to view, reschedule, or cancel a scheduled meeting. Notify them on changes."
Booking Confirmation Page,5,"✅ Confirmation, ✅ Modify UX",Shows booking confirmation and options to change or cancel.,"Design a confirmation page after booking with time, date, and options to modify or cancel."
Calendar with Notes,21,"✅ Note Field, ✅ Event Context, ✅ Calendar UX",Improves scheduling clarity by allowing annotations per day or event.,Let users attach notes to specific days or events for extra context.
Recurring Event Scheduler,6,"✅ Repeat Logic, ✅ UX",Supports recurring events with repeat rule configuration.,"Create a scheduling UI where users can set daily, weekly, or monthly recurrence rules for an event."
Weekly Agenda Builder,10,"✅ Weekly Layout, ✅ Task Labels, ✅ UX Planning",Helps users visually organize tasks for each day of the week with customizable color tags.,Create a block where users can plan their weekly tasks on a Monday–Sunday layout. Include color-coded task types.
Mini Calendar Widget,22,"✅ Compact UI, ✅ Upcoming Events, ✅ Quick Action",Useful for sidebar dashboards or mobile views with limited space.,"Build a compact calendar widget that shows current date, upcoming events, and quick add button."
Shared Calendar Embed,15,"✅ Read-only Calendar, ✅ Shared View, ✅ Embed UX",Lets teams or clients view a shared calendar without granting edit access.,Embed a shared calendar view that others can see in real-time but not edit.
Content Scheduling Calendar,1,"✅ Calendar UX, ✅ Scheduling Logic",Lets users schedule future content by picking a date from a calendar.,Add a calendar-based scheduler to let users pick future publish dates for their posts.
Drag‑to‑Schedule UI,13,"✅ Drag Logic, ✅ Calendar UX, ✅ UX Feedback","Users can visually block out time using drag gestures, making scheduling more intuitive.",Build a calendar where users can click and drag across time blocks to create or modify events.
Event Calendar View,2,"✅ Calendar UX, ✅ Event Modal",Displays a full calendar with clickable events and color-coded categories.,Build a calendar UI that shows events with color codes and lets users click to see event details.
Create Event + Invite Flow,3,"✅ Event Form, ✅ Invite Logic",Lets users create events and invite others with email notifications.,"Add a form to create an event with title, date, location, and invite users via email."
Team Availability Grid,11,"✅ Team View, ✅ Availability Logic, ✅ Grid UX",Enables scheduling around shared availability by showing a team’s free and busy times.,Display a grid showing the available hours of all team members for a selected week.
Smart Time Suggestion,23,"✅ Smart Logic, ✅ Time Suggestions, ✅ AI-Like UX",Enhances productivity by proposing times users are most likely to accept.,Create a block that suggests optimal meeting times based on historical user availability and preferences.
