🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Auto-Applied Discounts,17,"✅ Smart Logic, ✅ UX Delight, ✅ Eligibility Rules",Removes friction by auto-applying valid discounts based on user info or session data.,"Detect eligible discounts (e.g. first-time user, student) and apply them automatically at checkout."
Currency Selector Dropdown,20,"✅ Currency Logic, ✅ Dynamic Pricing, ✅ UX Picker",Supports global buyers by letting them see and pay in their preferred currency.,Include a dropdown that lets users switch between different currencies and updates prices in real time.
Billing & Payment Panel,21,"✅ API Integration, ✅ Payment UX, ✅ Confirmation Modals","Lets users manage billing preferences, update payment details, or cancel subscriptions directly from one place.","Scaffold a billing panel to view current plan and payment method, and update or cancel subscription."
Tiered Checkout Form,2,"✅ UX Flow, ✅ Dynamic Form, ✅ Tier Logic",A form that changes input fields or options based on the selected pricing tier.,"Create a checkout form that dynamically adjusts based on selected plan tier (e.g., Basic, Pro, Enterprise)."
Plan Comparison Table,12,"✅ Comparison UX, ✅ Feature Grid, ✅ Highlight Logic",Helps users easily evaluate plan differences and nudges them toward the recommended option.,Add a table that clearly compares features across multiple pricing tiers with highlight on recommended plan.
Cancel Subscription + Feedback,24,"✅ Form UX, ✅ Conditional Logic, ✅ Feedback Capture","Provides a user-friendly way to cancel, while offering incentives to reduce churn.",Design a cancellation flow where users submit a reason and optionally get a pause or discount offer.
Embedded Checkout Flow,22,"✅ Payment API, ✅ Inline Form UX",Keeps users in context while they complete a purchase without being redirected to a separate page.,"Create an inline checkout experience with plan selection, billing form, and confirmation toast."
Add Payment Method Form,26,"✅ Payment UX, ✅ Validation, ✅ Secure Input","Allows users to securely input and save their payment information, with real-time validation.","Create a secure form for entering credit card details, with input validation and save logic."
Upgrade CTA Card,9,"✅ Upsell UX, ✅ CTA Logic, ✅ Plan Comparison",A small block suggesting users consider a higher plan and highlighting its advantages.,Show a suggestion box encouraging users to upgrade to the next plan tier for additional benefits.
Plan Upgrade/Downgrade Selector,23,"✅ UX Switch, ✅ Pricing Comparison, ✅ Confirmation",Helps users transition smoothly between subscription tiers with full clarity.,Add a UI for users to compare their current subscription plan with others and switch with confirmation.
Installment Payment Selector,15,"✅ UX Finance, ✅ Payment Options, ✅ Pricing Breakdown",Helps users afford high-ticket items by offering structured payment options.,Let users split a large payment into multiple installments with a visual breakdown.
Order Summary Card,4,"✅ UX Recap, ✅ Cart Logic, ✅ Price Calculation",Gives users a clear breakdown of what they’re paying for before confirming purchase.,"Build a summary block that shows selected items, subtotal, taxes, discounts, and final total."
Trial Period Countdown,13,"✅ UX Timer, ✅ Subscription Logic, ✅ Visual Countdown",A dynamic visual that builds urgency by showing trial end date and billing info.,Display a countdown showing how many days remain in the user's trial before they are billed.
Secure Payment Icons,8,"✅ Trust UX, ✅ Payment UX, ✅ Visual Cues",Helps increase buyer confidence by showing recognizable payment options and security icons.,Display icons of accepted payment methods and security badges near the checkout button.
Pricing FAQ Accordion,18,"✅ UX Support, ✅ Expandable FAQ, ✅ Billing Clarity",Reduces friction by preemptively addressing pricing objections or uncertainties.,Embed an FAQ section below pricing cards to answer common billing and refund questions.
Price Breakdown Accordion,10,"✅ UX Accordion, ✅ Price Transparency, ✅ Interactive Reveal",Keeps the checkout clean but lets curious users dive into fee details.,Use an accordion element to show or hide detailed pricing breakdown like service fees or VAT.
Enterprise Plan Inquiry Form,16,"✅ Modal UX, ✅ B2B CTA, ✅ Lead Capture",Lets enterprise customers express interest in custom pricing and captures key sales leads.,Add a CTA button under pricing cards that opens a modal for large teams to request a custom quote.
Incentive Banner Strip,7,"✅ UX Banner, ✅ Incentive Messaging, ✅ Marketing Prompt",A small banner used to nudge users toward certain purchase thresholds.,Add a slim banner above the checkout form with a promotional message like 'Free shipping for orders over $50.'
One-Click Checkout,11,"✅ UX Speed, ✅ Saved Info, ✅ Payment API",Allows returning users to skip input fields and instantly complete purchase using previously stored info.,Create a fast checkout flow where returning users can complete purchase in one click with saved details.
One-Time Purchase Flow,27,"✅ Payments, ✅ Product Summary, ✅ Instant Checkout",Enables quick purchases of single products using fast-pay options like Stripe or Apple Pay.,"Build a UI that lets users select a product, review cost, and pay instantly with Stripe or Apple Pay."
Invoice Download Button,19,"✅ PDF Export, ✅ UX Utility, ✅ Post-Purchase Action",Useful for business users who need invoices for recordkeeping or reimbursement.,Add a button that lets users download a PDF invoice after completing checkout.
Tax Calculation Display,6,"✅ Tax Logic, ✅ UX Transparency, ✅ Location Input",Helps users see accurate cost breakdown including tax before purchase.,Show estimated tax during checkout based on user location input or selection.
Discount Code Field,3,"✅ Promo Logic, ✅ Input UX, ✅ Validation",Allows users to apply discount codes and validates them in real time.,Include an input where users can enter a promo code to get a discount on checkout.
Embedded Pricing Widget,25,"✅ Toggle Logic, ✅ Embeddable UI",A small footprint widget that can live across pages and drive subscriptions efficiently.,"Create a compact pricing widget with monthly/yearly toggle and inline CTA, reusable across pages."
Gift Checkout Mode,14,"✅ Gifting UX, ✅ Alt Recipient Input, ✅ Gift Message",Adds gifting functionality so users can send items to another person with a custom message.,Enable a gift option in the checkout where users can send items or subscriptions to someone else.
Subscription Frequency Picker,5,"✅ UX Toggle, ✅ Recurring Billing, ✅ Input UX",Enables users to choose their preferred billing frequency in a visually intuitive way.,"Let users choose how often they’re billed (monthly, quarterly, yearly) with visual radio or toggle buttons."
Pricing Table Toggle,1,"✅ UX Toggle, ✅ Pricing UX, ✅ Plan Comparison",A responsive pricing block that lets users switch between different billing frequencies to compare plan options.,Add a pricing section with toggle buttons to switch between monthly and yearly billing.
