#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Tab Navigation Section,Create a tabbed content section that stores last active tab and switches views without reload.,"✅ Tab Logic, ✅ State Storage",Lets users switch between different content views using tabs. Remembers the last tab selected.
2,Infinite Scroll Feed,Build a dynamic feed that auto-loads more posts as the user scrolls. Include a spinner and empty state.,"✅ Infinite Scroll, ✅ Feed UX","Loads more content automatically as the user scrolls, creating a seamless browsing experience."
3,Testimonial Carousel,"Add a rotating testimonial carousel with user quotes, avatars, and auto-scroll or swipe controls.","✅ Carousel, ✅ Swipe UX",Showcases user testimonials in a sliding carousel with automatic or manual controls.
4,Hero + Lead Capture Block,"Create a landing page hero section with a headline, subtext, email input, and a CTA. Show confirmation after submission.","✅ Form UX, ✅ CTA Logic, ✅ Confirmation",A hero section that collects user emails through a simple form with confirmation feedback.
5,Two‑Column Hero Section,"Design a responsive hero section with headline and CTA on the left, and image or video on the right.","✅ Responsive Layout, ✅ Media Embed",Balances text and media in a two-column hero section to communicate key messages visually.
6,Feature Highlights + Icon Row,Display a row of icons with short feature blurbs underneath. Use 3–6 items in a horizontally scrollable or responsive grid.,"✅ Icon Layout, ✅ Feature Copy",Highlights product or service features using a clean icon-based visual layout.
7,App Footer with Links + Social Icons,"Build a footer with legal links, navigation, and social media icons. Make it responsive and sticky if needed.","✅ Footer Layout, ✅ Navigation, ✅ Social Icons","A site footer that contains important links and social media icons, styled for responsiveness."
8,File Gallery + Lightbox Viewer,Display uploaded media in a grid of thumbnails. Clicking opens a full-screen lightbox viewer with zoom and scroll.,"✅ Gallery Layout, ✅ Modal Viewer","Lets users view images or media files in a clickable grid with a zoomable, scrollable viewer."
9,Empty State Block + CTA,"Design an empty state block with illustration, supportive text, and a CTA button prompting next action.","✅ Visual UX, ✅ Actionable CTA",Provides a friendly placeholder with guidance and a call to action when there’s no content yet.
10,Sticky Header on Scroll,Add a header that stays fixed at the top when the user scrolls down the page.,"✅ Sticky UI, ✅ Scroll Behavior","Keeps the site’s main header visible as users scroll, improving navigation and branding visibility."
11,Responsive Grid Layout,Create a flexible grid layout that adjusts the number of columns based on screen size.,"✅ Responsive Layout, ✅ Grid System","Displays content in a grid that reflows across devices, ensuring a clean layout on any screen."
12,Collapsible Section Block,Add a section with a toggle that expands or collapses content when clicked.,"✅ Toggle Logic, ✅ UX Accordion","Lets users hide or reveal content, useful for FAQs or space-saving layouts."
13,Background Pattern Wrapper,Wrap content in a container with a subtle repeating background pattern or gradient.,"✅ Visual Styling, ✅ Container UX",Enhances layout with a background style that adds visual depth without distracting content.
14,Centered Callout Box,"Create a centered callout box for announcements, tips, or highlights with emphasis styling.","✅ UX Highlight, ✅ Focus Block",Draws attention to a key message or tip with a visually distinct callout box.
15,Divider Line with Label,Insert a horizontal divider line that includes an optional label in the center.,"✅ Visual Divider, ✅ Label Logic",Visually separates sections of content while optionally providing a label to contextualize.
16,Card-Based Content Grid,Showcase content in individual cards arranged in a responsive grid layout.,"✅ Card UI, ✅ Grid Layout",Displays information in neatly styled cards that adapt across devices and screen sizes.
17,Floating Action Button,Add a floating action button in the bottom corner that triggers a key action or menu.,"✅ Floating UI, ✅ CTA Logic","Provides a persistent button for quick access to key actions, often used in mobile layouts."
18,Grid with Featured Spotlight,"Design a grid of cards with one larger, highlighted card as the main feature.","✅ Responsive Grid, ✅ Highlight UX","Blends regular and featured items in one layout, drawing attention to spotlighted content."
19,Progress Indicator Bar,Add a horizontal bar at the top of the screen to show scrolling progress or task completion.,"✅ Progress UI, ✅ Scroll Logic",Helps users understand how far they've read or how close they are to completing a task.
20,Full-Screen Overlay Menu,Build a full-screen overlay that opens from a menu icon and shows navigation or content blocks.,"✅ Overlay Logic, ✅ Navigation UX",Provides a dramatic full-page navigation or content menu triggered from a single icon.
21,Text + Media Split Block,Create a split-screen block with text on one side and media (image or video) on the other.,"✅ Layout Balance, ✅ Media Embed",Pairs copy with media in a visually appealing and easy-to-read side-by-side format.
22,Pinned Sidebar Layout,Design a layout with a sidebar that stays fixed while content scrolls independently.,"✅ Layout UX, ✅ Sticky Sidebar",Improves navigation and quick access by keeping sidebar content visible at all times.
23,Layered Content Stack,"Stack content blocks with overlapping effects, shadows, or z-index layers.","✅ Visual Layers, ✅ UX Styling",Creates depth in the layout by layering content blocks with shadows or offsets.
24,Responsive Masonry Grid,Display items in a masonry-style grid that automatically adjusts based on content height.,"✅ Masonry Layout, ✅ Auto Sizing","Packs variable-sized blocks efficiently without gaps, great for galleries or dynamic feeds."
25,Minimal Breadcrumb Trail,Add a simple breadcrumb trail at the top of the layout for page navigation.,"✅ Breadcrumb UX, ✅ Navigation Aid","Shows users where they are in the site structure, making navigation more intuitive."
