Name,Type,Prompt
Prompt,Content Ideas,"I create content for [description of audience]. Give me 50 problems that this audience might have. Include a mix of practical problems and
emotional ones."
Prompt,Content Ideas,"I create content about [broad topic]. Split that up into 10 smaller topics, then give me 20 [preferred platform] post ideas for each smaller topic"
Prompt,Content Ideas,"I just wrote this post: [the post]. 

Give me 10 first line suggestions that might be better than what I have currently. Make them concise, persuasive and interest-grabbing"
Prompt,Content Ideas,Act as world-class social media expert. I am a [title] in [niche] and I help [audience] to achieve [goals]. Create 30 content ideas for Instagram that speak directly to my audience’s pain points & goals that are actionable and engaging.
Prompt,Content Ideas,"Suggest ___ ideas for a social media poll on the [topic] "
Prompt,Content Ideas,"Create a monthly social media calendar for this project [project name and details] in a table format. Can you please include post ideas, post timing, post frequency, and engagement strategies in the calendar?"
Prompt,Content Ideas,Act like you are a highly experienced social media copywriter. Write an effective post on [details]. The post should be engaging and start with a solid hook to grab the reader’s attention.
Prompt,Content Ideas,My instagram account is in [niche]. Create a content calendar for a month.
Prompt,Content Ideas,Create a TikTok video idea demonstrating [topic].
Prompt,Content Ideas,Develop a series of LinkedIn posts sharing industry insights and thought leadership on emerging marketing trends in [topic]. Here’s a list of trends to get started [trends list].
Prompt,Content Ideas,"Generate [number] post ideas for [social media platforms] for a [company industry] company, focusing on [company-related topics]. Create [number] Pinterest board ideas for a [company type] company."
Prompt,Content Ideas,"I just wrote the start of this post:
[Title]
[Point 1, 2, 3] Suggest 10 more list items that fit with the first 3, and write them in a
similar length and style."
Prompt,Content Ideas,"I create content for [description of audience]. What are their top problems, insecurities, and pain
points?"
Prompt,Content Ideas,"I write for [detailed description of audience and what they want]. Give me 50 ideas for posts that deliver actionable tips. Focus on specific
strategies, not motivation or mindset."
Prompt,Content Ideas,"I write for [detailed description of audience]. First, list their top 20 pain points. Then, for each pain point, suggest 5 problem-solving content
ideas."
Prompt,Content Ideas,I'm writing a post about cognitive biases in marketing. Give me 15 that I might include in it.
Prompt,Content Ideas,"This social media post did well: [the
post]. Identify the factors that made it successful, then come up with 20 post
ideas that have the same factors. Make them distinctly different from the
original."
Prompt,Content Ideas,"I write for [audience]. Give me:
1. ﻿﻿﻿25 questions they might have about [their top goal].
2. ﻿﻿﻿25 tactical problems problems they have with [goal].
3. ﻿﻿﻿25 emotional problems problems they have with [goal].
75 content ideas. Instantly."
Prompt,Content Ideas,"Write me 10 social media posts that [famous influencer in your niche] would write. Make them all about [number] words long, and pick the topics based on what that person
often talks about."
Prompt,Content Ideas,"I write for [detailed description of audience]. Give me 50 questions that they might have about [niche/outcome]. Mix simple ones and
in-depth ones."
Prompt,Content Ideas,"I write for [detailed description of audience]. Give me 25 questions they might have, so I can create content that answers their questions. "
Prompt,Content Ideas,"I write for [audience]. Their biggest goal is [goal].

Give me 50 post ideas that’ll help them with [goal].

Make them about helpful strategies, not emotions."
