UI Name,#,Description
Terms‑and‑Privacy Modal,23,Scrollable legal text shown during registration with “I Agree” button.
Login Page Form,1,Standard two‑field form (email/username + password) with a “Remember me” checkbox and submit button.
SMS Code Auto‑Detect Field,27,Mobile‑optimized field that auto‑reads incoming SMS verification codes.
SAML Hand‑Off Spinner Page,43,Minimal page with company logo and spinner shown while the browser redirects between SP and IdP.
Delegated OAuth Consent Dialog,53,"Popup listing requested scopes (“Read email”, “Manage calendars”) with “Allow / Deny”."
Session Timeout Modal,19,"Pops up after inactivity, displaying countdown and “Stay signed in” button."
Invisible reCAPTCHA Token,15,Background captcha that validates quietly without extra user action.
Captcha‑less Trust Score Banner,39,Invisible background check; only displays a banner when extra verification is needed.
Username Availability Checker,22,Inline message showing green check or red error as the user types a desired username.
Delete Account Confirmation,31,Requires users to type “DELETE” or their email to confirm irreversible deletion.
Profile Avatar Uploader,21,Circular image placeholder with “Upload / Replace” action during sign‑up.
Hardware Token Code Entry,46,Input field tailored for 6‑ or 8‑digit codes generated by YubiKey or RSA tokens.
Reset‑Password Form,6,New‑password + confirm‑password fields shown after following a reset link.
Audit Log Download Panel,55,Admin overlay offering CSV export of authentication events with date‑range picker.
Password Rotation Reminder Banner,49,Yellow strip appearing X days before password expiry with “Change Password” CTA.
Account Deactivation Dialog,30,Blocking modal explaining consequences with “Deactivate / Cancel” buttons.
Login With Code (Email PIN),37,Prompts user to enter a 6‑digit code sent to their email instead of a password.
SSO Domain Discovery Screen,41,User types corporate email; the page auto‑routes to the correct SAML/OIDC identity provider.
Suspicious Login Alert Email,36,Template email with “Was this you? Yes / No” links for unfamiliar logins.
Registration Page Form,2,"Collects name, email, password, and confirm‑password, plus an optional terms‑of‑service checkbox."
Identity‑Provider Selection List,42,"Branded buttons for Okta, Azure AD, Google Workspace, etc., letting federated users choose their IdP."
Magic‑Link Login Page,7,Email field that sends a one‑click sign‑in link instead of asking for a password.
Authenticator Recovery CSV Download,40,Dialog explaining how to save recovery codes as a CSV file for safekeeping.
Password Visibility Toggle,4,Eye icon inside password input that switches masking on and off.
Device Approval Dialog,10,"Modal prompting to approve or deny a new device sign‑in, often with location info."
Security Question Step,11,Dropdown to pick a question plus answer field—used as fallback verification.
Login Success Toast,32,Brief toast message welcoming the user by name after successful login.
SCIM Provisioning Status Panel,51,Admin view listing synced users/groups with last‑sync timestamps and error badges.
Account‑Locked Screen,16,Full page explaining the account is locked after too many failed attempts and offering support contact.
Login With Passkey Button,25,"WebAuthn‑powered action that uses device biometrics (Face ID, Touch ID) instead of a password."
Smart‑Card / Certificate Login Prompt,47,Browser‑level dialog requesting a client certificate—common in government or finance sectors.
Security Settings Panel,34,"Tab inside profile showing 2‑FA status, recent logins, and device list."
Multi‑Account Switcher Dropdown,20,Avatar button listing multiple user accounts to switch between quickly.
Social Login Button Set,13,"Row of branded buttons (Google, Apple, GitHub) for quick third‑party sign‑in."
Forced 2‑FA Enrollment Modal,45,Blocking dialog that requires users to set up MFA before they can proceed inside the app.
Email Verification Banner,17,Dismissible bar reminding users to confirm their email with a “Resend link” action.
Expired Password Reset Workflow,50,Screen that forces password change upon next login due to policy expiration.
Authenticator App QR Setup,26,Displays a QR code users scan in Google Authenticator or Authy to enable 2‑factor codes.
Backup Code Download Panel,9,Shows a list of one‑time backup codes with a “Download as TXT” button.
GDPR Consent Checkbox Group,24,"Separate checkboxes for marketing, analytics, and personalization consent."
Suspicious‑Location Challenge Modal,54,Warns of unusual login location and asks for extra verification code.
Email Change Verification Modal,29,Confirms new email and asks for current password before updating.
Role‑Switch Dropdown,52,"Avatar menu item allowing privileged users to assume another role (e.g., “View as Reader”)."
Resend Verification Email Form,18,"Simple email input + resend button, used when the original verification link expired."
Re‑Auth Password Prompt,33,Small modal requesting current password before sensitive settings can be changed.
CAPTCHA Challenge Box,14,Embedded reCAPTCHA widget verifying the user is not a bot.
Passwordless Link Sent Page,28,Confirmation screen instructing users to check their inbox for a magic‑login link.
Step‑Up Authentication Challenge,48,Modal triggered mid‑session asking for password re‑entry or OTP before accessing high‑risk resources.
Single Sign‑On (SSO) Redirect Button,12,Large “Sign in with SSO” button that triggers a corporate identity provider flow.
Biometric Prompt Overlay,38,Native browser prompt requesting fingerprint or face scan for authentication.
Password Strength Meter,3,Colored bar beneath the password field that updates from “Weak” to “Strong” in real‑time.
Recent Login Activity List,35,"Table of devices, IPs, and timestamps with “Log out remote session” option."
IdP‑Initiated Logout Notice,44,Full‑page message stating “You’ve been signed out by your organization” with a “Sign In Again” button.
Forgot‑Password Request,5,Single email field plus “Send reset link” button.
Two‑Factor Code Entry,8,Six one‑digit boxes for typing an SMS or authenticator‑app code.
