#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Real-Time KPI Tracker,Display key metrics that update live using simulated or actual data sources. Highlight changes with color or animation.,"✅ Live Data, ✅ KPI Display, ✅ Visual Feedback",A real-time dashboard component that shows up-to-date key performance indicators using animations to indicate changes.
2,Weekly Performance Summary,"Create a dashboard section that summarizes weekly user stats, top actions, and completion rates in compact cards.","✅ Summary Cards, ✅ Weekly Stats, ✅ UX Layout",A weekly snapshot section that helps users quickly understand their key achievements and engagement.
3,Leaderboard Rankings,"Add a leaderboard that ranks users based on activity, score, or contributions. Show profile pictures and stats.","✅ Rankings, ✅ User Stats, ✅ Avatars","A visual leaderboard for displaying top users or contributors, sorted by performance or engagement metrics."
4,Goal Completion Ring,Design a circular progress ring to show the percentage completion of a user-defined goal or habit.,"✅ Progress UI, ✅ Goal Tracking, ✅ Visual Indicator",A stylish ring-style progress meter that communicates how close a user is to completing a specific goal.
5,Funnel Drop-Off Chart,Visualize user drop-off rates across a multi-step process like signup or checkout using a funnel chart.,"✅ Funnel Analytics, ✅ Drop-Off Logic, ✅ UX Chart",A step-by-step funnel visualization to help identify where users abandon a process.
6,Top Performing Content,"Display a ranked list of blog posts, videos, or products based on views, likes, or conversions.","✅ Content Ranking, ✅ Engagement Metrics, ✅ List UI",A content analytics block for showcasing your most popular items ranked by user interaction.
7,Heatmap Analytics Grid,Create a calendar or grid view showing intensity of user activity over time using color-coded heatmaps.,"✅ Heatmap, ✅ Temporal Data, ✅ UX Visualization",A visual heatmap showing patterns of usage or engagement over days or weeks.
8,Conversion Metrics Card,"Design a card that shows conversion rate, goal target, and a sparkline graph to visualize trends.","✅ Conversion Rate, ✅ Trend Graph, ✅ KPI UX",A compact analytics card combining metric values with a mini line graph to highlight changes.
9,Traffic Sources Pie Chart,"Build a pie chart that visualizes where traffic is coming from — e.g., social, search, referral, or direct.","✅ Traffic Analysis, ✅ Pie Chart, ✅ Source Breakdown",A source attribution chart helping users understand which channels drive the most traffic.
10,Time-Based Filters Panel,"Add a filter panel that lets users adjust timeframes (e.g., daily, weekly, monthly) for the dashboard data.","✅ Time Filters, ✅ UX Panel, ✅ State Sync",A date-range filter allowing users to dynamically adjust what time span the data reflects.
11,Team Performance Snapshot,Display a dashboard card comparing performance stats across team members or departments.,"✅ Team Stats, ✅ Comparison Logic, ✅ UX Cards",A quick overview block that shows how each team or member is performing based on key metrics.
12,Data Export Button,Add a button that lets users export dashboard data as CSV or JSON. Include format selection.,"✅ Export Logic, ✅ File Generation, ✅ UX Dropdown",A utility block that enables users to download the data shown on their dashboard in common file formats.
13,Threshold Alert System,Create a logic that highlights metrics exceeding certain thresholds and shows alerts or badges.,"✅ Alert Logic, ✅ UX Indicators, ✅ Highlighting",A reactive block that flags when numbers pass set limits — like error rates or sales spikes.
14,Trend Comparison Chart,Design a side-by-side line chart comparing this week’s metrics to the previous week.,"✅ Trend Analysis, ✅ Time Comparison, ✅ Line Chart",Helps users quickly spot differences in performance across two timeframes.
15,Mini Reporting Download UI,Add a small panel that lets users generate and download a summary report as PDF.,"✅ PDF Export, ✅ Report Builder, ✅ UX Panel",A print-ready reporting UI that generates lightweight visual summaries of key stats.
16,API-Powered External Widget,Embed a chart or stat widget that pulls data from an external API and shows loading states.,"✅ External API, ✅ Async Load, ✅ Data Embed",Allows integration with third-party tools and services to enrich the dashboard with external insights.
17,Chart Type Toggle Switcher,"Add a toggle to switch a chart view between bar, line, or pie representations.","✅ Chart UI, ✅ Toggle Logic, ✅ Visual Options",A user-friendly switcher that lets users customize how data is visualized.
18,Goal Forecast Widget,Design a widget that projects progress toward a monthly or quarterly goal using historical trends.,"✅ Forecasting, ✅ Predictive Logic, ✅ Goal Progress",A predictive component that estimates future progress based on recent trends.
19,Mobile-Optimized Metrics Strip,Create a horizontally scrollable metric strip optimized for small screens.,"✅ Mobile UX, ✅ Scroll UI, ✅ Compact Stats","Perfect for mobile dashboards — a minimal, swipe-friendly stat display."
20,Anomaly Detector Block,Highlight unusual spikes or drops in data using anomaly detection logic.,"✅ Anomaly Detection, ✅ Alert UI, ✅ Smart Insights","Surfaces strange data behavior like traffic surges, error spikes, or unexpected dips."
21,Dark Mode Responsive Charts,Ensure all dashboard charts automatically adapt to light/dark mode switches with proper contrast.,"✅ Theming, ✅ Responsive Charts, ✅ Dark Mode Support",Charts and dashboards that remain readable and beautiful in dark or light mode.
