#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Login & Registration Flow,"Create a login and registration system with email/password, social login options, and password reset. Redirect users after login.","✅ Auth, ✅ Form UX, ✅ Redirect Logic","Lets users sign up, log in, and reset passwords using email or social accounts. Sends them to the right page after logging in."
2,User Profile Settings,"Create a profile settings page where users can update name, email, password, and profile picture. Include save button and toast confirmation.","✅ Form UX, ✅ Validation, ✅ Image Upload","A settings page where users can change their personal info, update passwords, and upload a profile picture with a save button."
3,User Avatar + Bio Card,"Design a compact profile card where users can upload a photo, enter their name and bio, and preview the card live.","✅ Upload, ✅ Live Preview, ✅ UX","A small card that shows a user’s name, picture, and short bio. Users can see changes as they type."
4,Editable Bio + Social Links,Create a bio editor where users can write a short bio and add multiple social media links. Show real‑time preview.,"✅ Live Preview, ✅ Editable Fields","A simple place for users to write a bio and add social links, with a preview shown in real time."
5,Profile Completion Progress Bar,"Add a progress bar that tracks how complete a user’s profile is based on filled fields like avatar, bio, and password.","✅ Progress Logic, ✅ Checklist, ✅ UX",A progress bar that fills up as users complete more parts of their profile like adding a photo or bio.
6,Multi‑Account Profile Switcher,Add a dropdown that lets users switch between multiple profiles. Load each profile’s data on selection.,"✅ UX, ✅ State Switch, ✅ Multi‑profile",A dropdown menu that lets users easily switch between different saved profiles without logging out.
7,Author Profile Card,"Build an author card for display under posts. Include name, avatar, short bio, and social media links.","✅ Static Info, ✅ Social Links, ✅ Profile Display","A small card that shows the author’s name, image, and links under a blog post or article."
8,Tabbed Account Settings Page,"Create a settings page with tabs for general info, password, and preferences. Allow editing and saving per tab.","✅ UX, ✅ Form Validation, ✅ Tabbed UI","A tabbed layout that separates user settings into sections like info, password, and preferences."
9,User Preferences Panel,Create a preferences panel where users can select interests or categories using toggles or checkboxes.,"✅ Toggles, ✅ Metadata Storage, ✅ UX",A control panel where users can pick topics or categories they care about using checkboxes or switches.
10,Sidebar Settings Panel,"Build a sidebar panel that slides in on gear icon click, allowing users to adjust app preferences like dark mode or language.","✅ Sidebar Drawer, ✅ Toggle UX","A side panel that slides in when the user clicks a gear icon, letting them change app settings like theme or language."
11,Notification Settings,"Create a settings screen with toggles to enable or disable email, push, and in‑app notifications.","✅ Form UX, ✅ State Toggle, ✅ Save Logic",A simple settings page where users can turn on/off notifications like emails or push alerts.
12,Language Switcher & Locale Selector,Create a dropdown to switch app language and locale formats. Update UI strings and formatting instantly.,"✅ Locale Logic, ✅ UX Toggle","Lets users switch the app’s language and how dates or numbers are shown, with instant updates."
13,Passkey Login Block,"Create a login flow that uses passkeys instead of passwords, letting users authenticate using device biometrics.","✅ Auth, ✅ WebAuthn, ✅ UX Simplicity",Users log in using their device’s face or fingerprint instead of typing a password.
14,OAuth with Multiple Providers,"Add a sign-in block that lets users log in using Google, GitHub, or Facebook with fallback to email login.","✅ Auth, ✅ OAuth API, ✅ Multi-Provider Logic","Lets users sign in with services like Google or Facebook, or fall back to email if they prefer."
15,Profile Avatar Uploader,"Let users upload and preview a profile image, cropping it before saving.","✅ File Upload, ✅ UX Preview, ✅ Image Processing",Users can upload and crop a profile image with a live preview before saving.
16,Temporary Guest Access,Allow users to access the app with limited guest permissions before creating an account.,"✅ Access Control, ✅ UX Guest Mode",Gives temporary access to people who aren’t ready to create an account yet.
17,Login Attempt Rate Limiter,Add a login system that limits failed login attempts and shows a timeout message after 3 tries.,"✅ Security, ✅ Rate Limiting, ✅ UX Feedback",Limits login attempts and shows a warning if someone enters the wrong password too many times.
18,Social Handle Linker,Let users connect and display their social media profiles from within their account settings.,"✅ Profile UX, ✅ External Links, ✅ Personalization","Users can add their social media handles to their profile, which are then shown as links."
19,2FA Toggle Panel,Add a setting where users can enable or disable two-factor authentication using email or app.,"✅ Security, ✅ Settings UI, ✅ Auth Logic",Adds an option to turn on two-factor login using an app or email for extra security.
20,Linked Devices Viewer,Show users a list of currently signed-in devices with options to revoke access.,"✅ Session Tracking, ✅ UX Dashboard, ✅ Privacy Tools",Shows a list of devices where the user is signed in and lets them remove any of them.
21,Session Timeout Alert,Create a modal that warns users before automatic logout due to inactivity.,"✅ Timeout Logic, ✅ UX Modal, ✅ Auth Session","Shows a popup when a user is about to be logged out due to inactivity, giving them a chance to stay signed in."
22,Delete My Account Button,Add a destructive action in account settings that lets users permanently delete their account with confirmation flow.,"✅ UX Warning, ✅ Account API, ✅ Deletion Flow","Lets users delete their account completely, with a warning to confirm before it happens."
23,Custom Display Name Chooser,Allow users to choose a public display name that differs from their username or email.,"✅ Input UX, ✅ Personalization, ✅ State Update",Gives users the option to choose a public name that's different from their username or email.
24,Edit Profile Sidebar,"Add a sidebar panel where users can quickly edit profile details like name, email, and bio.","✅ Sidebar UI, ✅ Editable Fields, ✅ UX Speed","Provides a quick-access sidebar where users can update profile info like name, email, and bio."
25,Username Availability Checker,Validate and suggest available usernames in real time as users type.,"✅ Live Validation, ✅ UX Feedback",Checks if a username is already taken and shows suggestions while the user is typing.
26,Account Recovery Flow,Create a multi-step form that helps users reset their password using email or security questions.,"✅ UX Flow, ✅ Recovery Logic, ✅ Input Validation",Guides users through steps to recover their account if they forgot their password.
27,Auth Status Indicator,Show a status chip or badge indicating whether the user is currently authenticated.,"✅ UX Indicator, ✅ State Logic",Shows a small label or badge on the screen that confirms whether the user is currently logged in.
28,Switch Between Roles Panel,"Add a profile toggle that lets users switch between roles like Admin, Editor, or Viewer.","✅ Role Logic, ✅ UX Toggle",Lets users switch between different roles (like admin or viewer) with a simple toggle.
29,Invite-Based Registration,Only allow signups if a user has a valid invite code and email combo.,"✅ Validation, ✅ Controlled Access",Only allows new users to register if they have a valid invite code.
30,Progressive Profile Completeness Tracker,Show users a progress bar based on how complete their profile is and suggest missing items.,"✅ UX Gamification, ✅ Input Awareness","Encourages users to complete their profile by showing how many fields are filled in, like a progress bar."
31,Multi-Account Manager,"Let users manage multiple accounts from one interface, switching seamlessly without logout.","✅ State Handling, ✅ UX Flow, ✅ Auth","Lets users manage more than one account at a time, switching between them without logging out."
32,Sign-In Modal with Blur Overlay,Add a login modal that appears over a blurred background of the current screen.,"✅ Modal UX, ✅ Auth Input, ✅ Visual Layering",Shows a login popup over a blurred background for a smooth and modern sign-in experience.
33,Single-Use Registration Links,Generate a registration link that expires after one use for secure invites.,"✅ Auth Token, ✅ Expiry Logic","Creates special registration links that work only once, ideal for secure invite-only access."
34,Public vs Private Profile Toggle,Let users choose whether their profile is discoverable or private.,"✅ Visibility Logic, ✅ Settings UI",Lets users decide whether their profile should be visible to others or kept private.
35,Session History Timeline,Display a timeline of login events and sessions for transparency.,"✅ Data Log, ✅ UX Timeline","Displays a timeline of when users logged in or out, useful for keeping track of account activity."
36,Auth-Only Routes Wrapper,Wrap sections of the app so they’re only visible to logged-in users with proper roles.,"✅ Auth Guard, ✅ Role Checking",Hides parts of the app unless the user is logged in with the right permissions.
37,Account Suspension Banner,Display a prominent banner if a user’s account is suspended or under review.,"✅ Admin Logic, ✅ UX Notification",Displays a message at the top of the screen if the account is suspended or being reviewed.
38,SSO via Identity Provider (IdP),Enable Single Sign-On (SSO) using an external Identity Provider like Okta or Azure AD. Redirect users after authentication.,"✅ SSO, ✅ External IdP, ✅ Redirect Logic",Lets users log in through their work or school account using an identity provider like Google Workspace or Azure.
