🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
AI Text Rewriter,1,"✅ GenAI, ✅ Tone Control, ✅ Text UX","Lets users transform their writing style by selecting a tone. Ideal for emails, bios, or content tweaks.","Create a component that rewrites user-submitted text in a different tone (e.g., professional, casual, humorous)."
AI Meeting Notes Generator,10,"✅ GenAI, ✅ File Upload, ✅ Summarization",Generates summary notes and key takeaways from long meeting transcripts or recordings.,Allow users to upload a meeting recording or transcript and receive concise action-item notes.
GenAI Email Generator,14,"✅ GenAI, ✅ Form UX, ✅ Email Copy","Drafts useful emails based on tone, scenario, and purpose — ready for editing or sending.","Let users select a scenario (e.g., job inquiry, apology, update) and generate a draft email using AI."
AI Profile Bio Builder,9,"✅ GenAI, ✅ Form UX, ✅ Personalization",Creates polished bios for personal or professional profiles based on user input.,Build a form that helps users describe themselves and auto-generates a short bio using AI.
AI FAQ Generator,8,"✅ GenAI, ✅ Content Parsing, ✅ UX Writing",Automatically creates common questions and answers based on your content.,Let users submit a long-form article or product description and generate likely FAQs.
Creative Story Prompt Expander,19,"✅ GenAI, ✅ Writing UX, ✅ Storycraft","Boosts creativity by expanding short ideas into vivid, prompt-ready narrative openers.",Let users enter a one-line story idea and use AI to generate a paragraph-length scene starter.
Conversational AI Chat Box,2,"✅ GenAI, ✅ Chat UI, ✅ Realtime Feedback","Provides a chatbot-style interface for asking questions, brainstorming, or getting suggestions from AI.",Add a chat interface that lets users ask questions or interact with a friendly AI assistant.
Voice-to-Text Note Taker,4,"✅ Voice Input, ✅ GenAI, ✅ Notetaking UX",Users can speak their thoughts and have them transcribed into editable notes.,Build a voice input that converts spoken words into text notes using AI.
AI Mood-Based Playlist Curator,16,"✅ GenAI, ✅ Mood UX, ✅ Content Ideas","Fun, creative tool that generates themed playlists from mood prompts like 'rainy afternoon vibes.'",Let users describe their current mood and generate a playlist name and song suggestions using AI.
Speech Style Converter,18,"✅ GenAI, ✅ Speech UX, ✅ Tone Control",Transforms any talk or transcript into the desired style for repurposing or publishing.,"Paste a speech or transcript and use AI to convert it to formal, casual, or persuasive tone."
AI-Powered Form Auto-Filler,11,"✅ GenAI, ✅ Form UX, ✅ Autofill Logic",Saves time by automatically filling out forms based on user prompts like 'a job application form for a designer.',Let users describe a form in plain language and use AI to pre-fill the fields with likely data.
AI Alt Text Generator,3,"✅ Image Upload, ✅ GenAI, ✅ Accessibility",Makes your site more accessible by automatically describing images with AI-generated alt text.,Let users upload an image and generate descriptive alt text using AI for accessibility.
Image Captioning Assistant,17,"✅ GenAI, ✅ Image Upload, ✅ UX Writing",Helps users come up with social media-ready captions that match the tone of their image.,Let users upload an image and receive three clever or emotional captions generated by AI.
AI-Enhanced Decision Helper,20,"✅ GenAI, ✅ Decision UX, ✅ Logic Framework",Offers structured advice and alternate paths for simple personal or creative decisions.,Create a tool where users enter a dilemma and get pros/cons or suggested paths from AI.
AI Resume Reviewer,6,"✅ GenAI, ✅ File Upload, ✅ UX Suggestions","Analyze resumes and get personalized suggestions on structure, tone, or missing elements.",Upload a resume and let AI provide suggestions for improvements based on job role input.
AI Content Rephraser with Options,15,"✅ GenAI, ✅ Text Variants, ✅ UX Picker","Gives multiple content alternatives at once, letting users choose the best fit for their needs.",Paste any paragraph and use AI to offer three reworded versions with varying tones or lengths.
Content Sentiment Analyzer,7,"✅ GenAI, ✅ Sentiment Logic, ✅ Text Input",Detects emotional tone in text and surfaces insight about content vibe or polarity.,"Paste in user-generated content and let AI return the tone (e.g., positive, neutral, negative)."
AI-Based Code Explainer,5,"✅ GenAI, ✅ Code Parsing, ✅ Learning UX","Helps non-technical users understand what a block of code does, line by line or in summary.",Let users paste code and receive a plain-English explanation of what it does.
AI Persona Generator,12,"✅ GenAI, ✅ Profile UX, ✅ Avatar Placeholder",Builds mock personas for testing or storytelling based on user-provided themes.,"Generate a fictional persona with name, bio, job, and avatar based on a short prompt like 'young eco-entrepreneur'."
Text Complexity Simplifier,13,"✅ GenAI, ✅ Text UX, ✅ Learning Tools",Helps users understand complex material by generating a simplified version of the input text.,Add a tool that simplifies complex text into beginner-friendly language using AI.
