🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Weekly Performance Summary,2,"✅ Summary Cards, ✅ Weekly Stats, ✅ UX Layout",A weekly snapshot section that helps users quickly understand their key achievements and engagement.,"Create a dashboard section that summarizes weekly user stats, top actions, and completion rates in compact cards."
Goal Completion Ring,4,"✅ Progress UI, ✅ Goal Tracking, ✅ Visual Indicator",A stylish ring-style progress meter that communicates how close a user is to completing a specific goal.,Design a circular progress ring to show the percentage completion of a user-defined goal or habit.
Mini Reporting Download UI,15,"✅ PDF Export, ✅ Report Builder, ✅ UX Panel",A print-ready reporting UI that generates lightweight visual summaries of key stats.,Add a small panel that lets users generate and download a summary report as PDF.
Traffic Sources Pie Chart,9,"✅ Traffic Analysis, ✅ Pie Chart, ✅ Source Breakdown",A source attribution chart helping users understand which channels drive the most traffic.,"Build a pie chart that visualizes where traffic is coming from — e.g., social, search, referral, or direct."
Time-Based Filters Panel,10,"✅ Time Filters, ✅ UX Panel, ✅ State Sync",A date-range filter allowing users to dynamically adjust what time span the data reflects.,"Add a filter panel that lets users adjust timeframes (e.g., daily, weekly, monthly) for the dashboard data."
Funnel Drop-Off Chart,5,"✅ Funnel Analytics, ✅ Drop-Off Logic, ✅ UX Chart",A step-by-step funnel visualization to help identify where users abandon a process.,Visualize user drop-off rates across a multi-step process like signup or checkout using a funnel chart.
Team Performance Snapshot,11,"✅ Team Stats, ✅ Comparison Logic, ✅ UX Cards",A quick overview block that shows how each team or member is performing based on key metrics.,Display a dashboard card comparing performance stats across team members or departments.
Leaderboard Rankings,3,"✅ Rankings, ✅ User Stats, ✅ Avatars","A visual leaderboard for displaying top users or contributors, sorted by performance or engagement metrics.","Add a leaderboard that ranks users based on activity, score, or contributions. Show profile pictures and stats."
Real-Time KPI Tracker,1,"✅ Live Data, ✅ KPI Display, ✅ Visual Feedback",A real-time dashboard component that shows up-to-date key performance indicators using animations to indicate changes.,Display key metrics that update live using simulated or actual data sources. Highlight changes with color or animation.
Goal Forecast Widget,18,"✅ Forecasting, ✅ Predictive Logic, ✅ Goal Progress",A predictive component that estimates future progress based on recent trends.,Design a widget that projects progress toward a monthly or quarterly goal using historical trends.
Chart Type Toggle Switcher,17,"✅ Chart UI, ✅ Toggle Logic, ✅ Visual Options",A user-friendly switcher that lets users customize how data is visualized.,"Add a toggle to switch a chart view between bar, line, or pie representations."
Anomaly Detector Block,20,"✅ Anomaly Detection, ✅ Alert UI, ✅ Smart Insights","Surfaces strange data behavior like traffic surges, error spikes, or unexpected dips.",Highlight unusual spikes or drops in data using anomaly detection logic.
Threshold Alert System,13,"✅ Alert Logic, ✅ UX Indicators, ✅ Highlighting",A reactive block that flags when numbers pass set limits — like error rates or sales spikes.,Create a logic that highlights metrics exceeding certain thresholds and shows alerts or badges.
Data Export Button,12,"✅ Export Logic, ✅ File Generation, ✅ UX Dropdown",A utility block that enables users to download the data shown on their dashboard in common file formats.,Add a button that lets users export dashboard data as CSV or JSON. Include format selection.
Top Performing Content,6,"✅ Content Ranking, ✅ Engagement Metrics, ✅ List UI",A content analytics block for showcasing your most popular items ranked by user interaction.,"Display a ranked list of blog posts, videos, or products based on views, likes, or conversions."
Dark Mode Responsive Charts,21,"✅ Theming, ✅ Responsive Charts, ✅ Dark Mode Support",Charts and dashboards that remain readable and beautiful in dark or light mode.,Ensure all dashboard charts automatically adapt to light/dark mode switches with proper contrast.
Mobile-Optimized Metrics Strip,19,"✅ Mobile UX, ✅ Scroll UI, ✅ Compact Stats","Perfect for mobile dashboards — a minimal, swipe-friendly stat display.",Create a horizontally scrollable metric strip optimized for small screens.
Trend Comparison Chart,14,"✅ Trend Analysis, ✅ Time Comparison, ✅ Line Chart",Helps users quickly spot differences in performance across two timeframes.,Design a side-by-side line chart comparing this week’s metrics to the previous week.
Heatmap Analytics Grid,7,"✅ Heatmap, ✅ Temporal Data, ✅ UX Visualization",A visual heatmap showing patterns of usage or engagement over days or weeks.,Create a calendar or grid view showing intensity of user activity over time using color-coded heatmaps.
Conversion Metrics Card,8,"✅ Conversion Rate, ✅ Trend Graph, ✅ KPI UX",A compact analytics card combining metric values with a mini line graph to highlight changes.,"Design a card that shows conversion rate, goal target, and a sparkline graph to visualize trends."
API-Powered External Widget,16,"✅ External API, ✅ Async Load, ✅ Data Embed",Allows integration with third-party tools and services to enrich the dashboard with external insights.,Embed a chart or stat widget that pulls data from an external API and shows loading states.
