🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Session Timeout Alert,21,"✅ Timeout Logic, ✅ UX Modal, ✅ Auth Session","Shows a popup when a user is about to be logged out due to inactivity, giving them a chance to stay signed in.",Create a modal that warns users before automatic logout due to inactivity.
Sign-In Modal with Blur Overlay,32,"✅ Modal UX, ✅ Auth Input, ✅ Visual Layering",Shows a login popup over a blurred background for a smooth and modern sign-in experience.,Add a login modal that appears over a blurred background of the current screen.
Tabbed Account Settings Page,8,"✅ UX, ✅ Form Validation, ✅ Tabbed UI","A tabbed layout that separates user settings into sections like info, password, and preferences.","Create a settings page with tabs for general info, password, and preferences. Allow editing and saving per tab."
Progressive Profile Completeness Tracker,30,"✅ UX Gamification, ✅ Input Awareness","Encourages users to complete their profile by showing how many fields are filled in, like a progress bar.",Show users a progress bar based on how complete their profile is and suggest missing items.
OAuth with Multiple Providers,14,"✅ Auth, ✅ OAuth API, ✅ Multi-Provider Logic","Lets users sign in with services like Google or Facebook, or fall back to email if they prefer.","Add a sign-in block that lets users log in using Google, GitHub, or Facebook with fallback to email login."
Language Switcher & Locale Selector,12,"✅ Locale Logic, ✅ UX Toggle","Lets users switch the app’s language and how dates or numbers are shown, with instant updates.",Create a dropdown to switch app language and locale formats. Update UI strings and formatting instantly.
SSO via Identity Provider (IdP),38,"✅ SSO, ✅ External IdP, ✅ Redirect Logic",Lets users log in through their work or school account using an identity provider like Google Workspace or Azure.,Enable Single Sign-On (SSO) using an external Identity Provider like Okta or Azure AD. Redirect users after authentication.
Single-Use Registration Links,33,"✅ Auth Token, ✅ Expiry Logic","Creates special registration links that work only once, ideal for secure invite-only access.",Generate a registration link that expires after one use for secure invites.
Audit Log Viewer,41,"✅ Audit Trail, ✅ UX Timeline, ✅ Security","Shows a secure list of all authentication events like login, logout, or 2FA changes.","Add a secure interface where users can view a timeline of authentication-related actions like login, logout, 2FA changes."
Delete My Account Button,22,"✅ UX Warning, ✅ Account API, ✅ Deletion Flow","Lets users delete their account completely, with a warning to confirm before it happens.",Add a destructive action in account settings that lets users permanently delete their account with confirmation flow.
Login Attempt Rate Limiter,17,"✅ Security, ✅ Rate Limiting, ✅ UX Feedback",Limits login attempts and shows a warning if someone enters the wrong password too many times.,Add a login system that limits failed login attempts and shows a timeout message after 3 tries.
Auth-Only Routes Wrapper,36,"✅ Auth Guard, ✅ Role Checking",Hides parts of the app unless the user is logged in with the right permissions.,Wrap sections of the app so they’re only visible to logged-in users with proper roles.
Editable Bio + Social Links,4,"✅ Live Preview, ✅ Editable Fields","A simple place for users to write a bio and add social links, with a preview shown in real time.",Create a bio editor where users can write a short bio and add multiple social media links. Show real‑time preview.
User Profile Settings,2,"✅ Form UX, ✅ Validation, ✅ Image Upload","A settings page where users can change their personal info, update passwords, and upload a profile picture with a save button.","Create a profile settings page where users can update name, email, password, and profile picture. Include save button and toast confirmation."
Switch Between Roles Panel,28,"✅ Role Logic, ✅ UX Toggle",Lets users switch between different roles (like admin or viewer) with a simple toggle.,"Add a profile toggle that lets users switch between roles like Admin, Editor, or Viewer."
Multi‑Account Profile Switcher,6,"✅ UX, ✅ State Switch, ✅ Multi‑profile",A dropdown menu that lets users easily switch between different saved profiles without logging out.,Add a dropdown that lets users switch between multiple profiles. Load each profile’s data on selection.
Sidebar Settings Panel,10,"✅ Sidebar Drawer, ✅ Toggle UX","A side panel that slides in when the user clicks a gear icon, letting them change app settings like theme or language.","Build a sidebar panel that slides in on gear icon click, allowing users to adjust app preferences like dark mode or language."
Multi-Account Manager,31,"✅ State Handling, ✅ UX Flow, ✅ Auth","Lets users manage more than one account at a time, switching between them without logging out.","Let users manage multiple accounts from one interface, switching seamlessly without logout."
Auth Status Indicator,27,"✅ UX Indicator, ✅ State Logic",Shows a small label or badge on the screen that confirms whether the user is currently logged in.,Show a status chip or badge indicating whether the user is currently authenticated.
Profile Completion Progress Bar,5,"✅ Progress Logic, ✅ Checklist, ✅ UX",A progress bar that fills up as users complete more parts of their profile like adding a photo or bio.,"Add a progress bar that tracks how complete a user’s profile is based on filled fields like avatar, bio, and password."
Invite-Based Registration,29,"✅ Validation, ✅ Controlled Access",Only allows new users to register if they have a valid invite code.,Only allow signups if a user has a valid invite code and email combo.
Custom Display Name Chooser,23,"✅ Input UX, ✅ Personalization, ✅ State Update",Gives users the option to choose a public name that's different from their username or email.,Allow users to choose a public display name that differs from their username or email.
Public vs Private Profile Toggle,34,"✅ Visibility Logic, ✅ Settings UI",Lets users decide whether their profile should be visible to others or kept private.,Let users choose whether their profile is discoverable or private.
Passkey Login Block,13,"✅ Auth, ✅ WebAuthn, ✅ UX Simplicity",Users log in using their device’s face or fingerprint instead of typing a password.,"Create a login flow that uses passkeys instead of passwords, letting users authenticate using device biometrics."
Account Recovery Flow,26,"✅ UX Flow, ✅ Recovery Logic, ✅ Input Validation",Guides users through steps to recover their account if they forgot their password.,Create a multi-step form that helps users reset their password using email or security questions.
Edit Profile Sidebar,24,"✅ Sidebar UI, ✅ Editable Fields, ✅ UX Speed","Provides a quick-access sidebar where users can update profile info like name, email, and bio.","Add a sidebar panel where users can quickly edit profile details like name, email, and bio."
Session History Timeline,35,"✅ Data Log, ✅ UX Timeline","Displays a timeline of when users logged in or out, useful for keeping track of account activity.",Display a timeline of login events and sessions for transparency.
User Preferences Panel,9,"✅ Toggles, ✅ Metadata Storage, ✅ UX",A control panel where users can pick topics or categories they care about using checkboxes or switches.,Create a preferences panel where users can select interests or categories using toggles or checkboxes.
2FA Toggle Panel,19,"✅ Security, ✅ Settings UI, ✅ Auth Logic",Adds an option to turn on two-factor login using an app or email for extra security.,Add a setting where users can enable or disable two-factor authentication using email or app.
Author Profile Card,7,"✅ Static Info, ✅ Social Links, ✅ Profile Display","A small card that shows the author’s name, image, and links under a blog post or article.","Build an author card for display under posts. Include name, avatar, short bio, and social media links."
Temporary Guest Access,16,"✅ Access Control, ✅ UX Guest Mode",Gives temporary access to people who aren’t ready to create an account yet.,Allow users to access the app with limited guest permissions before creating an account.
Linked Devices Viewer,20,"✅ Session Tracking, ✅ UX Dashboard, ✅ Privacy Tools",Shows a list of devices where the user is signed in and lets them remove any of them.,Show users a list of currently signed-in devices with options to revoke access.
Social Handle Linker,18,"✅ Profile UX, ✅ External Links, ✅ Personalization","Users can add their social media handles to their profile, which are then shown as links.",Let users connect and display their social media profiles from within their account settings.
Org-Based Role Permissions,39,"✅ Role Management, ✅ Org Logic, ✅ Access Control","Sets up permissions based on the organization a user belongs to, so their role can be different in each workspace.","Set up a system where user roles and permissions are scoped to their organization (e.g., Admin in Org A, Viewer in Org B)."
SCIM Provisioning Overview,42,"✅ SCIM API, ✅ Provisioning Logic, ✅ Read-Only UX",Displays if a user was created or synced from an external system like an HR tool.,"Display user provisioning status via SCIM (System for Cross-domain Identity Management) — e.g., synced from HR tools."
User Impersonation Mode (Admin Only),40,"✅ Admin Tools, ✅ Session Switching, ✅ Transparency UX",Gives admins a way to see exactly what a user sees by temporarily impersonating them — with a clear visual cue.,Let admins temporarily view and act as another user for support or debugging. Display clear ‘Impersonation’ banner.
User Avatar + Bio Card,3,"✅ Upload, ✅ Live Preview, ✅ UX","A small card that shows a user’s name, picture, and short bio. Users can see changes as they type.","Design a compact profile card where users can upload a photo, enter their name and bio, and preview the card live."
Login & Registration Flow,1,"✅ Auth, ✅ Form UX, ✅ Redirect Logic","Lets users sign up, log in, and reset passwords using email or social accounts. Sends them to the right page after logging in.","Create a login and registration system with email/password, social login options, and password reset. Redirect users after login."
Notification Settings,11,"✅ Form UX, ✅ State Toggle, ✅ Save Logic",A simple settings page where users can turn on/off notifications like emails or push alerts.,"Create a settings screen with toggles to enable or disable email, push, and in‑app notifications."
Profile Avatar Uploader,15,"✅ File Upload, ✅ UX Preview, ✅ Image Processing",Users can upload and crop a profile image with a live preview before saving.,"Let users upload and preview a profile image, cropping it before saving."
Username Availability Checker,25,"✅ Live Validation, ✅ UX Feedback",Checks if a username is already taken and shows suggestions while the user is typing.,Validate and suggest available usernames in real time as users type.
Account Suspension Banner,37,"✅ Admin Logic, ✅ UX Notification",Displays a message at the top of the screen if the account is suspended or being reviewed.,Display a prominent banner if a user’s account is suspended or under review.
