Name,Description
Origin UI,Beautiful UI components built with Tailwind CSS and Next.js.
Once UI,Once UI is an open-source design system and component library for Next.js with interactive documentation.
Shadcn/ui expansions,Useful additional components collection base on shadcn/ui to help you ship new features faster.
Shadcn Extension,"Discover new possibilities with the extended Shadcn UI library. More components, more layouts."
Enhanced shadcn button,Easily expand the regular shadcn-button component with new button styles.
Magic UI,50+ free and open-source animated components.
Aceternity UI,Copy paste the most trending components and use them in your websites.
shadcn/ui,Beautifully designed components that you can copy and paste into your apps.
lukacho/ui,Next Generation UI Components.
Hero UI,"Beautiful, fast and modern React UI library."
Rigid UI,Professional Powerful components that scale with your needs.
tweakcn,Design Your Perfect shadcn/ui Theme.
Wind UI,"Expertly made, responsive, accessible components in React and HTML ready to be used on your website or app. "
Glaze,Utility-based animations for the web.
ANIMATA,Hand-crafted ✍️ interaction animations and effects from around the internet.
components bridger,Copy a component below and paste it into your application.
UI labs,Small laboratory of fine UI.
HyperUI,Free Open Source Tailwind CSS Components.
Carbon Design System,Carbon is IBM’s open source design system for products and digital experiences.
Semantic UI,User Interface is the language of the web.
Rombo,A new simple syntax animation library. Batteries included. Infinitely configurable.
Ark UI,Fully customizable and accessible UI components.
Headless UI,"Completely unstyled, fully accessible UI components."
Daisy UI,The most popularcomponent libraryfor Tailwind CSS.
Park UI,Beautifully designed components built with Ark UI.
Theme UI,Theme UI is a library for creating themeable user interfaces based on constraint-based design principles.
Fluent UI,Fluent UI web represents a collection of utilities.
React Bootstrap,"The most popular front-end framework, rebuilt for React."
Tailwind UI,"Beautifully designed, expertly crafted components and templates."
Ant Design,Help designers/developers building beautiful products more flexible and working with happiness.
Chakra UI,"Chakra UI is a simple, modular and accessible component library."
Mantine,Build fully functional accessible web applications faster than ever.
Radix UI,An open source component library optimized for fast development.
MUI,MUI offers a comprehensive suite of free UI tools to help you ship new features faster.
Motion,"Motion. A production-grade animation library forReact, JavaScript, and Vue."
