UI Name,#,Description
Swipe Card Deck (Mobile),57,Full‑screen cards users swipe left/right Tinder‑style—commonly used for onboarding tips.
Multi‑Step Wizard Sidebar,77,Sidebar shows step checklist; main area swaps content per step—great for sign‑ups.
High‑Contrast Accessibility Layout,64,Preset color palette and enlarged hit‑areas optimized for low‑vision users.
Inset List,24,"List items set inside a soft card, giving a grouped feel."
Log Viewer Layout,53,Full‑width monospaced table that autoscrolls new rows into view for real‑time logs.
Keyboard‑Only List Navigation,65,List items gain visible focus rings and arrow‑key traversal without a mouse.
Pinned Sub‑Sidebar Layout,63,Main sidebar plus a collapsible sub‑sidebar for deep navigation hierarchies.
Right‑Aligned Content Layout,78,"Primary column anchored to the right edge, leaving whitespace on the left for asymmetry."
Drawer‑Stacked Layout,59,Multiple slide‑in drawers that can stack without covering each other—useful for nested forms.
Presentation Mode Shell,62,Hides headers/footers and centers content in a 16:9 frame for on‑screen demos.
Reorderable Drag List,43,Allows users to drag items up or down to change their order.
12‑Span CSS Grid,5,A row containing twelve equal grid units so items can span custom widths.
Fixed Sidebar Layout,12,Sidebar stays in view while the main content scrolls independently.
Ordered Number List,29,Sequence of items automatically numbered for steps or rankings.
Gallery List Carousel,35,Horizontal list of cards that scrolls with arrow buttons or swipes.
Bordered List,25,Each list item separated by subtle borders for clear visual breaks.
Timeline List,31,Vertical list with dots and connecting line to display events chronologically.
Card Stack Layout,47,"Overlapping cards that users swipe or click through, deck‑style."
Grouped Alphabet List,39,"Items sorted under sticky A‑Z headings, useful for contact directories."
Lazy‑Load Infinite Grid,74,Masonry grid that fetches and appends new items only when they enter viewport.
Interactive Hover List,27,List items highlight and raise slightly on hover to indicate clickability.
Center‑Aligned Container,6,A fixed‑width wrapper that keeps content centered with equal margins on large screens.
Sticky Header Layout,16,Header remains visible at the top even as users scroll down long pages.
Master‑Detail Split View,46,Left pane shows a list; selecting an item fills the right pane with details.
Responsive Equal‑Ratio Grid,48,Squares keep their aspect ratio regardless of screen width—great for photo grids.
Side‑Rail Comment Feed,55,Narrow rail on the right where threaded comments stay visible while the main document scrolls.
Holy Grail Layout,21,"Classic fixed header, fixed footer, flexible middle flanked by two sidebars."
Accordion Sidebar Menu,71,Sidebar groups nav links into collapsible accordion sections.
Tree List,41,Hierarchical list where nodes expand to reveal child items.
Adaptive Sidebar Tabs Layout,58,Sidebar turns into a top tab bar on small screens to save horizontal space.
List Group,23,Vertical list with optional badges or icons for each item.
Compact Card Slider,75,Horizontal track of small cards with snap points—good for related products.
Stacked Layout,9,"Sections piled vertically with generous spacing, creating a scroll‑friendly flow."
Multi‑Column Magazine Grid,60,Responsive two‑column (tablet) to three‑column (desktop) layout for editorial articles.
Expandable List Item,28,Clicking an item reveals hidden details beneath it—like an inline accordion.
Table List Hybrid,40,"Combines table rows with richer list‑style content, like avatars and buttons."
Icon Grid Menu,44,Square icons in a grid acting as quick‑launch shortcuts.
Virtualized List,36,"Renders only items in view, keeping long lists smooth and memory‑light."
Two‑Column Grid,1,A simple side‑by‑side layout that splits the screen into equal halves.
Dense Table View,67,Table rows reduced in height for displaying large datasets in admin panels.
Striped List,26,Alternating background colors improve readability for long item lists.
Responsive Masonry Grid,4,Tiles of varying heights that pack tightly without gaps—ideal for image galleries.
Timeline Gantt Hybrid,69,Vertical timeline down the left with horizontal bars depicting durations per row.
Vertical Story Reel,56,Mobile‑first full‑height cards that swipe vertically (TikTok/YouTube Shorts style).
Card Grid Layout,19,Equal‑height cards arranged in responsive rows for product or blog previews.
Sidebar Layout (Left),10,A narrow navigation column on the left with a wider content pane on the right.
Inbox List Layout,32,"Two‑line items with avatar, subject, and timestamp—suitable for messages."
Dual‑Header Table,72,Two stacked header rows—primary category plus secondary labels—for complex data.
Media Playlist List,50,List of audio or video tracks with play buttons and duration labels.
Dashboard Grid Shell,51,A 4‑ or 6‑cell masonry grid sized for KPI cards and charts—ideal for analytics home screens.
Sticky Footer Layout,17,Keeps footer docked to the bottom of the viewport when content is short.
Kanban Board Columns,33,Horizontally scrollable columns holding draggable cards for task workflows.
Chat Split View,70,"Left list of conversations, right pane for active chat with sticky message input."
Equal‑Height Flex Row,20,Flexbox row ensuring each child fills the tallest sibling’s height.
Step Wizard Layout,45,Series of panels shown one at a time with “Next” and “Back” controls.
Three‑Column Grid,2,"Divides content into three equal vertical columns, perfect for feature overviews."
Z‑Index Layered Layout,76,"Overlapping sections with intentional z‑index stacking to create depth (hero over nav, etc.)."
Bullet List with Icons,30,Replaces standard bullets with custom icons for stronger visual cues.
Content + Sticky Action Bar,79,"Bottom‑fixed action bar (save, share) that appears once the user scrolls past hero."
Compact Kanban Mini‑Board,68,Three short columns meant for sidebar widgets rather than full boards.
Sticky Column List,73,"First column (e.g., names) stays fixed while remaining list area scrolls horizontally."
App Shell Frame,18,"Universal wrapper housing header, sidebar, and content slot for SPA routing."
Infinite Scroll List,37,Automatically loads more items as the user nears the bottom.
Sidebar Layout (Right),11,"Content on the left, slim sidebar on the right—great for ads or related links."
Collapsible Sidebar Layout,13,Sidebar can shrink to icons or slide away to maximize workspace.
Grid List with Captions,34,"Square thumbnails with titles underneath, common in video libraries."
Media Gallery Strip + Details,66,Thumbnail rail at top; clicking loads large media preview and metadata below.
Four‑Column Grid,3,A responsive grid of four equal blocks that collapse gracefully on small screens.
Checklist List,42,Each list item includes a checkbox for task completion tracking.
Drawer‑Style Sidebar,14,Sidebar hidden off‑canvas that slides in from the edge on button click.
Topbar + Content Layout,15,Persistent header bar with the page content scrolling beneath it.
Centered Modal List,61,Large overlay displaying a scrollable list while the background remains visible.
Split‑Pane Editor,52,Two resizable panes side‑by‑side (code ↔ preview or markdown ↔ render) with a draggable divider.
Command‑Palette Overlay Frame,54,"Centered, narrow input overlay that appears above a dimmed app shell for quick command search."
Split‑Screen Layout,8,"Left half for media, right half for text—often used on landing pages."
Full‑Width Fluid Container,7,"Stretches edge‑to‑edge, resizing smoothly across any viewport."
Tile List with Badges,49,Tiles include small corner badges for statuses like “New” or numbers.
Paginated List,38,Breaks large sets into pages with numbered navigation links.
Full‑Viewport Scroll Snap Panels,80,Each section occupies 100 vh and snaps neatly as the user scrolls—ideal for pitch decks.
Media Object Layout,22,Small thumbnail on the left with text stacking on the right—used for comment lists.
