Name,Description
motion-primitives,"A collection of open-source, customizable motion components built on top of Framer Motion."
app-ideas,A Collection of application ideas which can be used to improve your coding skills.
public-apis,A collective list of free APIs.
developer-roadmap,"Interactive roadmaps, guides and other educational content."
beautiful-docs,"Pointers to useful, well-written, and otherwise beautiful documentation."
design-resources-for-developers,"Curated list of design and UI resources from stock photos, web templates…"
project-based-learning,Curated list of project-based tutorials
Free-certifications,A curated list of free courses & certifications.
awesome-shadcn-ui,A curated list of awesome things related to shadcn/ui.
awesome-hackathon-projects,This is a curated list of amazing hackathon projects
awesome-algorithms,A curated list of awesome places to learn and/or practice algorithms.
awesome-learn-by-playing,A collection of tech resources that allow you to learn new things.
awesome-design-patterns,A curated list of software and architecture related design patterns.
javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript.
awesome,😎 Awesome lists about all kinds of interesting topics
awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems"
free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers."
build-your-own-x,Master programming by recreating your favorite technologies from scratch.
awesome-react,A collection of awesome things regarding React ecosystem
awesome-javascript,"🐢 A collection of awesome browser-side JavaScript libraries, and resources."
33-js-concepts,📜 33 JavaScript concepts every developer should know.
awesome-saas-boilerplates,List of SaaS boilerplates (starter kits) by stack.
free-programming-books,📚 Freely available programming books
wtfjs,🤪 A list of funny and tricky JavaScript examples.
SaaS-Boilerplate,SaaS Boilerplate built with Next.js + Tailwind CSS + Shadcn UI + TypeScript.
