#,UI Name,Description
1,Hero Section,"A full‑width banner with a bold headline, sub‑headline, and call‑to‑action that greets visitors at the top of a page."
2,Split Hero Section,A hero layout that places eye‑catching imagery on one side and compelling text on the other for instant context.
3,Centered Hero with Illustration,"Puts headline, paragraph, and button in the middle of the screen over a soft illustration or pattern background."
4,Video Hero Background,Features looping video behind headline and button to create an immersive first impression.
5,Feature Grid (Three‑Column),"Displays three equal columns, each with an icon, short title, and sentence explaining a key feature."
6,Feature Zigzag Layout,Alternates image and text left‑right in stacked rows to keep long feature lists engaging.
7,Feature Icon Row,A single horizontal strip of icons with short labels—great for quick capability highlights.
8,Feature Comparison Table,Side‑by‑side columns that tick or cross features so users can compare plans at a glance.
9,Bento Grid Layout,"Arranges mixed‑size tiles in a tidy grid, like a Japanese bento box, to showcase varied content pieces."
10,Pricing Card,"A card with price, plan name, bullet points, and a “Get Started” button."
11,Pricing Table,Two or more pricing cards aligned in a single row so tiers are easy to contrast.
12,Pricing Toggle (Monthly / Yearly),Adds a switch atop the pricing area to instantly flip prices between billing cycles.
13,Statistic Tile,"Shows a big number (e.g., “9.3 K”) with a small label (“Total Users”) to spotlight a metric."
14,KPI Card,"A box combining a primary metric, trend arrow, and tiny sparkline for quick performance insight."
15,Count‑Up Number,"Animates from zero up to the final figure, drawing attention to milestones reached."
16,Progress Bar Indicator,A horizontal bar that fills left‑to‑right to show task completion percentage.
17,Progress Circular (Ring),"A donut‑shaped ring that fills clockwise, ideal for goal tracking."
18,Logo Cloud,A responsive block of client or partner logos showing brand trust.
19,Logo Carousel Slider,Continuously scrolls partner logos in a single horizontal line to save space.
20,Testimonial Card,"Displays a customer photo, quote, and name to add social proof."
21,Testimonial Grid,Arranges several testimonial cards in rows for quick scanning.
22,Testimonial Carousel,"Cycles through testimonials one at a time, keeping the section compact."
23,Quote Block,Large italic text with em‑dash and author name that draws attention to key statements.
24,Review Star Summary,Shows an average star rating and number of reviews beneath for instant credibility.
25,FAQ Accordion,"Stacked questions that expand to reveal answers, keeping long FAQs tidy."
26,FAQ Grid,Displays questions and answers in two‑column cards for quick side‑by‑side reading.
27,Call‑to‑Action Banner,A bold colored strip with headline and button urging users to act now.
28,CTA with Split Image,Pairs a persuasive message on one side and an illustrative image on the other to boost conversions.
29,Newsletter Signup Bar,A thin strip with email field and button encouraging visitors to subscribe.
30,Newsletter Signup Card,"A card with catchy headline, short text, and email form—perfect for sidebars or footers."
31,Blog Post Card,"Shows thumbnail, title, excerpt, and “Read More” link to preview articles."
32,Blog Post List,"Vertical list of post cards with divider lines, ideal for a news feed."
33,Blog Masonry Grid,Staggers varying‑height post cards in snug columns without gaps.
34,Image Gallery Grid,Responsive rows of thumbnails that open to larger views when clicked.
35,Lightbox Image Viewer,Darkens the page and enlarges the clicked image with next/prev arrows.
36,Video Embed Block,"Holds a YouTube or Vimeo video in a responsive frame, preserving aspect ratio."
37,Video Playlist Module,Shows main video on the left and a scrollable list of next videos on the right.
38,Audio Player Bar,Simple play/pause bar with timeline and timestamp—great for podcasts.
39,Timeline Vertical,Lists events down a central line with dots and dates to show history or process.
40,Timeline Horizontal,Spreads milestones across a horizontal line for wide screens.
41,Step‑by‑Step Process,Numbered blocks that visually guide users through a workflow in order.
42,Milestone Roadmap,Combines timeline and card layout to show upcoming product milestones.
43,Content Tabs,Clickable labels that reveal different panels without reloading the page.
44,Accordion Disclosure,A standalone collapsible section for optional detailed content.
45,Card with Hover Overlay,Reveals extra details or buttons when the user hovers over the card image.
46,Flip Card,Rotates 3‑D‑style on hover to show information on the back side.
47,Profile Card,"Displays user avatar, name, role, and short bio in a compact card."
48,Team Grid,A layout of profile cards showing multiple team members in equal‑sized tiles.
49,Article Table of Contents,Lists page headings and highlights the current section while scrolling.
50,Alert Announcement Bar,A dismissible strip at the very top that broadcasts important news like “We’ve launched v2.0!”
51,Parallax Hero Banner,"A full‑width hero in which the background image scrolls slower than the foreground text, adding depth to the page top."
52,Gradient Overlay Hero,Puts a semi‑transparent color gradient over a photo so headline text stays readable on any image.
53,Skewed Hero Section,"Uses angled background shapes behind the headline and CTA to create a dynamic, modern look."
54,Curved‑Bottom Hero,Finishes the hero with a gentle SVG wave that visually flows into the next section.
55,Before‑and‑After Image Slider,Lets users drag a handle to compare two overlaid images—perfect for makeovers or edits.
56,Feature Checklist Block,A plain list of bullet points each preceded by a green checkmark icon to convey completed capabilities.
57,Two‑Column Content Block,"Splits the section into equal columns—text on the left, supporting image or video on the right."
58,Asymmetric Content Block,Uses a 40/60 split between text and media for a more editorial feel.
59,Content Callout Box,"A colored rectangle that highlights a key fact, quote, or warning within an article."
60,Icon List Strip,Horizontal row of small icons with short labels—ideal for summarizing quick stats or perks.
61,Numbered List with Large Numerals,"Displays big, stylized 1‑2‑3 digits alongside short explanations for step‑based content."
62,Feature Card Carousel,Scrolls a row of feature cards side‑to‑side so users can browse many items in limited space.
63,Case Study Spotlight,"A card featuring company logo, short success metric, and link to the full story."
64,Video Testimonial Card,Combines a play‑button overlay with a quote snippet so users can either watch or read praise.
65,Storytelling Timeline with Images,A vertical timeline where each milestone includes an optional photo for richer context.
66,Event Calendar List,"A simple chronological list of upcoming events, each with date badge and brief blurb."
67,Interactive Map Embed,Embeds a zoomable Google Map or Leaflet map that supports custom location markers.
68,Statistic Donut Chart,A ring chart that shows percentage completion with the numeric value centered inside.
69,Mini Sparkline Row,"Tiny inline graphs that trail key numbers, useful for showing trends without bulky charts."
70,Progress Bar Stacked,"A single bar divided into colored segments to represent parts of a whole (e.g., budget allocation)."
71,Comparison Meter,Visual gauge that points to Low/Medium/High to illustrate qualitative rankings.
72,Reading Progress Indicator,A slim bar at the top that fills as the reader scrolls through long content.
73,Article Byline Block,"Shows author avatar, name, publish date, and read‑time estimate just beneath a headline."
74,Author Bio Snippet,"A small card with author photo, one‑sentence bio, and social links at the end of a post."
75,Quote Overlay on Image,Places large quotation marks and text over a semi‑darkened background photo.
76,Highlighted Pull Quote,A standout quote in larger text centered inside surrounding body copy to break monotony.
77,Statistic Comparison Tiles,Two or three side‑by‑side stat cards with arrows showing which metric went up or down.
78,Metric Badge with Trend Arrow,Small pill showing a number plus green ↑ or red ↓ arrow for instant performance cues.
79,Logo Ribbon Overlay,"A diagonal ribbon (e.g., “Beta”, “New”) that sits on the corner of a card or image."
80,Ribbon Tag List,A vertical string of colored tags enumerating categories or tech stacks next to an article.
81,Masonry Image Collage,"Interlocks photos of varying heights, creating a scrapbook‑style gallery."
82,Polaroid‑Style Image Stack,Overlaps square photos with slight rotation and drop shadows for a casual vibe.
83,Gallery Slideshow Hero,Replaces a static hero background with automatically cycling full‑width images.
84,Inline Code Snippet Block,Syntax‑highlighted code area with copy‑button—handy for tutorials and docs.
85,Expandable Code Block,Initially shows only the first few lines of code with a “Show more” toggle.
86,Data Table with Sort & Filter,A tabular display where clicking headers sorts columns and a top row lets users filter values.
87,Scrollable Data Table,Keeps table headers fixed while the rows scroll in a constrained box.
88,Simple Card Deck,"Uniform cards that all share equal height, aligning neatly in responsive rows."
89,Hover Lift Card,"Card rises slightly and gains a shadow on hover, signaling it’s clickable."
90,Avatar Stack Row,Overlapping circle avatars that show team members associated with a project.
91,Avatar Group with Counter,Displays first few avatars plus “+5” badge to indicate additional members.
92,Testimonial with Star Gradient,Combines a 5‑star rating row above the customer quote to emphasize satisfaction.
93,Testimonial Video Grid,"Grid of thumbnail videos, each featuring a different customer story."
94,Social Proof Bar,A slim strip noting “Trusted by 12 000+ designers worldwide” with tiny avatar faces.
95,Tag Cloud,Visual cluster of category tags sized by popularity—useful for blogs or docs.
96,Interactive Pie Chart,Hovering a slice reveals a tooltip with exact percentage and label.
97,Project Roadmap Board,"Kanban‑style column layout showing “Planned, In Progress, Done” ticket stacks."
98,Comment Thread Block,"Nested comments with avatar, name, timestamp, and reply button—ideal for posts."
99,Tweet Embed Card,"Displays a live tweet with author info, clickable hashtags, and interaction counts."
100,Social Share Bar,"Row of platform icons (Twitter, LinkedIn, Facebook) encouraging readers to share content."
101,Scrolling Narrative Section,"Pins an illustration at center while new text paragraphs fade in as the user scrolls, perfect for product stories."
102,Full‑Screen Quote Hero,Shows a giant quotation on a plain backdrop that fills the entire viewport for dramatic emphasis.
103,Press‑Mention Strip,A thin bar cycling “As seen in …” logos to showcase media coverage.
104,Side‑by‑Side Stat + Image Block,Pairs a large metric on the left with a supporting photo on the right in one tidy row.
105,Long‑Form Feature Timeline,Alternates full‑width images and copy down the page to tell a chronological story.
106,Plan Comparison Grid (5 × 5),Scrollable matrix that compares five plans across five feature rows with tick/cross icons.
107,Plan Comparison Toggle (Annually / Quarterly / Monthly),Adds a three‑way toggle atop the pricing table so visitors can view any billing cycle.
108,Step‑CTA Combo Block,Shows “1 Choose plan → 2 Create account → 3 Get started” with icons and a final CTA button.
109,Curved‑Edge Feature Section,Uses a sweeping SVG curve at top and bottom to wrap a features area in a soft shape.
110,Angle‑Cut CTA Banner,A diagonal‑edged banner in a contrasting color containing headline and button.
111,Stats Infograph Row,Displays three or four icon‑backed numbers with short captions in one horizontal band.
112,Story Progress Indicator Bar,A segmented line at top of article showing how many chapters have been read.
113,Release Notes Panel,Small card summarizing the latest version changes with “Read full log” link.
114,Milestone Badge Carousel,Horizontally scrollable row of circular milestone icons and dates.
115,One‑Line Announcement Ticker,Scrolling text ticker announcing promos or news across the top of a page.
116,Layered Gradient Card,Card with two overlapping gradient backgrounds creating depth beneath the main content.
117,Tilt‑On‑Hover Card,"Slightly tilts in 3‑D when the cursor moves over it, indicating interactivity."
118,Radial‑Border Card,"Thin multi‑color ring encircles the card, drawing attention without heavy shadows."
119,Selectable Bookmark Card,Includes a bookmark toggle in the corner so users can save the item.
120,Overlay Action Card,Buttons appear over the image portion of the card only when hovered.
121,Statistic Flip Card,Reveals a context note on the back side when the metric card is clicked.
122,Depth‑Stack Card Deck,"Three cards overlapped with drop shadows, fanning slightly for a layered look."
123,Compact CTA Card,"Tiny card with icon, line of text, and arrow chevron that fits into sidebars."
124,Gradient Shadow Hover Card,Card gains a soft colored shadow on hover instead of moving.
125,Ribbon‑Tag Card,Card corner shows a folded ribbon reading “Featured” or “Sale.”
126,Dismissible Tip Card,Helpful hint card with an “×” so users can close and not see it again.
127,Status Pill Card,"Shows status (Live, Paused, Draft) inside a colored pill at top‑right of card."
128,Expandable Product Card,Click expands the card downward to reveal extra product details.
129,Key‑Point Bullet Card,Card lists three check‑mark bullets under its heading for clarity.
130,Background‑Image Tile,Uses a full‑cover background image with white overlay text atop.
131,Inbox Preview List,"Each list row shows avatar, sender name, subject line, and unread badge."
132,Paginated Data Table,Standard table with next/previous buttons and page numbers below.
133,Draggable Table Rows,Lets users drag rows to reorder priority in a list.
134,Editable Cell Table,Click any table cell to turn it into an inline text input for quick edits.
135,Sticky Header & Footer Table,Column titles stay at top and totals row stays at bottom while scrolling rows.
136,Tree‑View Table,Rows can expand to reveal nested child rows—great for folder hierarchies.
