Name,Description
React Hook Form,"Performant, flexible and extensible forms with easy-to-use validation."
TanStack Query,"TanStack Query gives you declarative, always-up-to-date auto-managed queries and mutations."
Zod,TypeScript-first schema validation with static type inference.
usehooks-ts,"React hook library, ready to use, written in Typescript."
Lodash,"A modern JavaScript utility library delivering modularity, performance & extras."
Three.js,JavaScript 3D library.
axios,Axios is a simple promise based HTTP client for the browser and node.js.
React Hot Toast,Beautiful notifications to your React app with react-hot-toast.
React-toastify,React notification made easy.
Howler.js,Audio library for the modern web.
Next,The React Framework for the Web.
Video.js,World's most popular open source HTML5 player framework.
Redux,A JS library for predictable and maintainable global state management.
Svelte,Free and open-source component-based front-end software framework.
Angular,The web development framework for building modern apps.
Anime.js,Lightweight JavaScript animation library.
Chart.js,Simple yet flexible JavaScript charting library for the modern web.
GSAP,A wildly robust JavaScript animation library built for professionals.
Moment.js,"Parse, validate, manipulate, and display dates and times in JavaScript."
Nextra,"Simple, powerful and flexible site generation frameworkwith everything you love from Next.js"
Vue,The Progressive JavaScript Framework.
Zustand,Bear necessities for state management in React.
Formik,"Build forms in React, without the tears."
Pixi.js,"Create beautiful digital content with the fastest, most flexible 2D WebGL renderer."
