UI Name,#,Description
Reading Mode Toggle,341,Switch between light and dark reading modes in one click.
Glassmorphism Card,378,"A translucent, frosted‑glass card that lets background colors softly bleed through for a modern look."
Elevation Shadow Card,277,"Card gains larger shadow on hover, implying press‑able interaction."
Article Progress Side Rail,297,Vertical bar on the side filling as reader scrolls through headings.
Review Star Summary,24,Shows an average star rating and number of reviews beneath for instant credibility.
Water Ripple Hero,224,Hero background simulates gentle water ripples for calming effect.
Card Deck with Snap Scroll,192,Horizontally scrolling cards that snap cleanly into place.
Floating Table of Contents Bubble,347,Small movable bubble showing current section name as user scrolls.
Announcement Toast,345,Small pop‑up at bottom left that auto‑dismisses after a few seconds.
Hover Gradient Shift Card,193,Card background smoothly shifts colors when hovered.
Simple Card Deck,88,"Uniform cards that all share equal height, aligning neatly in responsive rows."
Card with Hover Overlay,45,Reveals extra details or buttons when the user hovers over the card image.
Adaptive Skeleton Grid,369,Placeholder blocks auto‑resize based on screen size.
Newsletter Signup Card,30,"A card with catchy headline, short text, and email form—perfect for sidebars or footers."
Tilt‑On‑Hover Card,117,"Slightly tilts in 3‑D when the cursor moves over it, indicating interactivity."
Decorative Dotted Underline Heading,185,Subtle dotted line under the title for a magazine‑style accent.
Drag‑and‑Drop Kanban Board,144,"Standard lanes where cards move between To Do, Doing, Done."
Tab Strip With Badge Counters,255,"Tabs show small notification badges (e.g., “3”) to indicate unread items."
Privacy Preferences Center,344,"Modal letting users toggle analytics, marketing, and personalization cookies."
Retry‑Action Error Card,367,"Error card with icon, message, and “Try again” button."
KPI Tile with Mini Progress Ring,409,Metric displayed inside a small circular progress indicator.
Hover Reveal List Item,253,List item shows summary; hovering reveals hidden details or actions.
Gallery Slideshow Hero,83,Replaces a static hero background with automatically cycling full‑width images.
Testimonial Grid,21,Arranges several testimonial cards in rows for quick scanning.
Slide‑Up Newsletter Panel,339,"Appears at the page bottom after user scrolls halfway, asking to subscribe."
Aspect‑Ratio Preserver,372,Utility wrapper ensuring media keeps correct ratio across breakpoints.
SVG Animated Divider,213,Moving wave or zig‑zag SVG separating two page sections.
Pattern‑Fill Drop Cap,415,First letter of a paragraph filled with a geometric pattern.
Hover Gradient Shift Card,422,Card background smoothly shifts colors when hovered.
Swim‑Lane Release Roadmap,319,Multi‑row timeline dividing tasks by team or theme across months.
Sticky CT‑A Ribbon,300,Slender “Try it free” ribbon that sticks to bottom once user scrolls past hero.
Data Table with Sort & Filter,86,A tabular display where clicking headers sorts columns and a top row lets users filter values.
Frosted Glass Hero,379,Full‑width hero with a blurred glass overlay panel floating above a vivid background image.
Carousel with Indicator Dots,204,Slides auto‑advance while dots show current position.
Box‑and‑Whisker Chart,158,"Visualizes quartiles, medians, and outliers for statistical insight."
Gradient Border Card,276,Card framed by a thin multi‑color gradient line for visual pop.
Funnel Chart Widget,159,Tapered layers illustrating conversion drop‑offs through a process.
Case Study Spotlight,63,"A card featuring company logo, short success metric, and link to the full story."
Side‑by‑Side Stat + Image Block,104,Pairs a large metric on the left with a supporting photo on the right in one tidy row.
Sticky Donate Button,346,"Circular donate icon sticking to page corner, opening a small payment form."
KPI Card,14,"A box combining a primary metric, trend arrow, and tiny sparkline for quick performance insight."
Panorama Image Scroll,243,Wide panoramic image that scrolls horizontally inside a fixed‑height frame.
Horizontal Step Dots Tracker,418,Evenly spaced dots with labels that light up as users advance.
Column Reorder Table,384,Users can drag a header to rearrange table columns on the fly.
Search Highlight Snippet,296,Emphasizes matching keywords in paragraphs when user performs on‑page search.
Empty State Illustration Block,250,Displays friendly SVG art plus message and CTA when there’s no data yet.
Content Callout Box,59,"A colored rectangle that highlights a key fact, quote, or warning within an article."
Expandable Code Block,85,Initially shows only the first few lines of code with a “Show more” toggle.
Video Mosaic Grid,168,Equal‑sized video thumbnails arranged in a responsive grid.
Social Share Bar,100,"Row of platform icons (Twitter, LinkedIn, Facebook) encouraging readers to share content."
Bubble Scatter Plot,390,Scatter plot that sizes each dot by a third data dimension.
Compact CTA Card,123,"Tiny card with icon, line of text, and arrow chevron that fits into sidebars."
Confetti Burst Graphic,273,Animated confetti emitted when a user reaches a milestone section.
