🧩 Block Name,#,✅ Includes,📝 Description,🪄 Prompt
Form Reset Button,15,"✅ Form UX, ✅ Reset Logic",Helps users start over or clear inputs without refreshing the page.,Add a button to clear all form fields and reset to default values.
Floating Label Input,2,"✅ Clean UX, ✅ Label Behavior, ✅ Accessibility",Enhances input usability by keeping labels visible and reducing layout space.,"Design input fields where labels float above when the user types, reducing clutter."
Password Visibility Toggle,4,"✅ Password UX, ✅ Toggle Logic",Gives users control over password visibility to reduce typing errors.,Add a show/hide button to password input fields to improve user entry accuracy.
Conditional Input Display,11,"✅ Conditional Logic, ✅ Form UX",Personalizes the form experience based on user choices.,"Show or hide form fields based on earlier selections (e.g., dropdown triggers a new field)."
Sticky Form Actions,17,"✅ UX Positioning, ✅ Accessibility",Prevents users from hunting for action buttons in long forms.,Make submit/reset buttons sticky so they remain visible while scrolling long forms.
Signature Capture Field,34,"✅ Canvas Input, ✅ UX Capture, ✅ Legal Sign-Off",Enables users to digitally sign forms using mouse or touchscreen input.,Add a canvas area where users can draw their signature and submit it with the form.
Terms Acceptance Checkbox,9,"✅ Compliance, ✅ UX Barrier, ✅ Form Control",Ensures legal and policy acknowledgment before form submission.,Include a required checkbox that users must check to agree to terms before submitting.
Dynamic Field Adder,1,"✅ Input UX, ✅ Field Management, ✅ Dynamic Logic","Lets users add or remove sections of a form, such as adding more recipients or options on the fly.",Create a form where users can dynamically add or remove input fields as needed.
Step-Saver Autofill,14,"✅ Autofill, ✅ UX Simplicity",Saves users time by preloading known values where appropriate.,Allow users to autofill certain sections based on known or saved data.
Range Slider Input,21,"✅ UX Control, ✅ Numeric Input",Provides a tactile way to select values within a set range.,"Add a slider input for choosing a number within a range (e.g., price, age)."
Inline Form Submission Feedback,25,"✅ UX Feedback, ✅ State Alerts",Confirms whether submission worked without redirecting or reloading the page.,Display a brief success or error message inline near the submit button after form send.
Mobile-Optimized Input Pads,13,"✅ Mobile UX, ✅ Input Modes",Improves mobile data entry by surfacing appropriate keyboards.,Customize numeric and text input fields to show optimized mobile keypads.
Time Picker Dropdown,24,"✅ Time Input, ✅ UX Simplicity",Makes time selection faster and easier than manual entry.,"Include a dropdown to select time with options for hours, minutes, and AM/PM."
Form Field Tooltips,12,"✅ UX Hints, ✅ Tooltip Logic",Improves understanding by offering quick field explanations on hover or tap.,Add tooltip icons to form fields that explain what each field is for.
Masked Input Formatter,3,"✅ UX Formatting, ✅ Input Masks, ✅ Error Prevention","Ensures user inputs follow a format like dates, phone numbers, or ZIP codes.","Build inputs that format user entries automatically (e.g., phone number or credit card)."
Grouped Input Rows,7,"✅ Layout UX, ✅ Input Grouping",Makes complex forms more digestible by clustering related fields together.,Organize related form fields into visually grouped sections for clarity.
Editable Summary Preview,23,"✅ UX Preview, ✅ Edit Controls",Prevents submission errors by letting users verify their input.,Display a form summary preview that lets users review and edit before submitting.
Input Character Limiter,16,"✅ Input Control, ✅ UX Clarity",Keeps entries within bounds while showing how many characters remain.,Restrict input fields to a max number of characters with a visible limit counter.
Upload Progress Bar,20,"✅ UX Feedback, ✅ File Upload, ✅ Status Indicators",Keeps users informed during potentially long upload processes.,Show a visual progress bar when uploading files via form input.
Live Word Count for Textarea,10,"✅ UX Feedback, ✅ Text Input, ✅ Content Limits",Guides users to stay within limits or see their content volume in real time.,Display a live word or character count below a large text input.
Custom Placeholder Text,19,"✅ UX Hints, ✅ Input Clarity",Guides users by showing examples inside empty fields.,"Use helpful placeholder text that teaches what to input (e.g., format or example)."
Form Autosave Draft,6,"✅ Autosave, ✅ State Persistence, ✅ UX Safeguard",Prevents data loss by saving form state locally or in the cloud.,Enable autosave for form input so users don’t lose progress if they navigate away.
Form Webhook Sender,36,"✅ API Hook, ✅ Submission Logic, ✅ Integrations","Makes forms programmable by sending entries to services like Zapier, Slack, or Notion.",Send submitted form data to a custom webhook URL for external integration.
Input-Based Redirect,37,"✅ Conditional Logic, ✅ Navigation, ✅ UX Routing",Enables forms to guide users to different next steps depending on what they choose.,Redirect users to different URLs based on specific input selections or values.
Autosuggest Location Input,8,"✅ Autosuggest, ✅ Location API, ✅ UX Prediction",Helps users quickly find and input geographic data using live suggestions.,Add a location input that suggests city or address names as users type.
OTP Code Input,33,"✅ UX Input, ✅ Verification Flow, ✅ Auto-Advance",Lets users enter one-time passcodes with seamless tabbing or full-paste support.,Create a 6-digit OTP input with auto-advancing fields and paste-to-fill support.
Save and Resume Later,18,"✅ State Saving, ✅ UX Continuity",Supports long forms by allowing users to pause and return without losing data.,Add an option for users to save form progress and return later to complete.
AI Input Rewriter,35,"✅ GenAI, ✅ Text Enhancement, ✅ UX Helper",Supports clearer communication by offering auto-rewording of text inputs.,Let users rewrite their input using AI to improve grammar or tone before submission.
Auto-Grow Textarea,5,"✅ Text Input, ✅ Dynamic Resize, ✅ UX Feedback",Improves usability by expanding the input area for longer responses automatically.,Create a textarea that grows as the user types more content.
Real-Time Input Sync,22,"✅ State Syncing, ✅ UX Consistency",Ensures that repeated fields like name or email are consistent everywhere.,Sync the same input field across multiple sections of a form in real-time.
