#,🧩 Block Name,🪄 Prompt,✅ Includes,📝 Description
1,Rich Text Editor,"Add a rich text editor that supports headings, bold, italic, lists, and links.","✅ UX Editor, ✅ Text Formatting, ✅ Content Input",A beginner-friendly editor that lets users format and write content like in Google Docs or Notion.
2,Blog Post Composer,"Create a blog post composition block with title input, body editor, and category selection.","✅ UX Form, ✅ Tagging, ✅ Content Drafting",A content-writing block for drafting and categorizing blog articles easily.
3,Auto-Save Draft,Enable automatic saving of post drafts every few seconds without user needing to click save.,"✅ UX Autosave, ✅ State Persistence, ✅ Draft Mode",Keeps users from losing progress by saving work-in-progress drafts in real time.
4,Publish Toggle,Add a publish/unpublish toggle to switch content visibility with one click.,"✅ Toggle UX, ✅ Content Visibility, ✅ Admin Controls",Lets users control whether content is live or hidden with a simple switch.
5,Post Scheduling,Let users pick a future time/date for their content to go live automatically.,"✅ Date Picker, ✅ Time Logic, ✅ Publish Scheduler",Helps users plan ahead by scheduling content to publish later.
6,Media Uploader,Add an image/video uploader with preview and drag-and-drop support.,"✅ File Upload, ✅ Preview UX, ✅ Drag-and-Drop",A visual file upload tool for adding media to posts and pages.
7,Content Tagger,Create a field where users can tag their content for easier discovery and filtering.,"✅ Tag Input, ✅ UX Filtering, ✅ Metadata",Improves discoverability by letting users add descriptive tags to content.
8,SEO Metadata Panel,"Add input fields for SEO title, description, and keywords below the main editor.","✅ SEO Input, ✅ Metadata, ✅ UX Panel",Optimizes posts for search engines by letting users add key SEO details.
9,Featured Image Selector,Let users pick and crop a featured image for their content.,"✅ Image Upload, ✅ Crop Tool, ✅ Visual Picker",Adds a thumbnail or visual identity to posts with an easy-to-use image selector.
10,Save as Draft Button,Add a separate button that allows users to save their work without publishing.,"✅ Draft Save, ✅ UX Buttons, ✅ Content State",Gives users control to save posts in-progress and return to them later.
11,Word Count Tracker,Show a live word count under the text area as users type.,"✅ Live Counter, ✅ UX Feedback, ✅ Writing Metrics",Helps writers stay within limits or track their writing pace as they go.
12,Simple Markdown Editor,Add a markdown editor with live preview for text formatting using symbols.,"✅ Markdown Support, ✅ UX Preview, ✅ Text Editing",Enables writers to format content using markdown syntax with a real-time preview.
13,Collaborative Writing Mode,Let multiple users edit the same document in real-time with visible cursors.,"✅ Real-Time Editing, ✅ Multi-User Sync, ✅ Collaboration",A shared writing space where multiple people can contribute simultaneously.
14,Content Version History,"Add a history panel to view, compare, and revert to previous versions of content.","✅ Version Control, ✅ UX Panel, ✅ Content Diff",Keeps track of past edits and lets users restore earlier versions.
15,One-Click Publish to Social,"Add social sharing buttons that publish the post to Twitter, LinkedIn, or Facebook.","✅ API Integration, ✅ Social UX, ✅ Sharing Tools",Simplifies the process of distributing content to multiple platforms.
16,Content Preview Mode,Add a toggle to switch between editing and previewing how the content will appear when published.,"✅ Preview Toggle, ✅ UX Mode Switch, ✅ Live Rendering",Lets users preview how content will look before they publish it.
17,Content Template Selector,Provide users with pre-built content templates they can load and customize.,"✅ Templates, ✅ UX Selection, ✅ Starter Content",Speeds up writing by giving users a starting structure to modify.
18,Inline Comments,Enable users to add comments on specific lines or sections of the content.,"✅ Annotation, ✅ UX Feedback, ✅ Editing Collaboration",A collaborative tool for giving or receiving targeted feedback inside content.
19,Reading Time Estimator,Show an estimated reading time for the post based on word count.,"✅ Read Time, ✅ UX Hint, ✅ Reader Experience",Lets readers know how long it will take to read a post before clicking.
20,Content Gallery,Display published posts in a responsive gallery grid with thumbnails and titles.,"✅ UX Grid, ✅ Post Preview, ✅ Responsive Layout",A visual layout for browsing content in card-style view.
21,Draft Reminder Notification,Send a reminder if a user has a draft sitting for more than 3 days.,"✅ Notifications, ✅ UX Reminder, ✅ Draft State",Encourages users to finish and publish content they’ve started.
22,Audio Narration Upload,Let users upload an audio version of their post for podcast-style playback.,"✅ File Upload, ✅ Audio Player, ✅ Accessibility","Adds audio playback to posts, offering an alternative reading mode."
23,Post Visibility Settings,"Let users choose if their content is public, private, or unlisted.","✅ Visibility Control, ✅ UX Dropdown, ✅ Content Access",Gives users flexible control over who can see their content.
24,Quick Publish Shortcut,"Add a keyboard shortcut (e.g., CMD + Enter) to instantly publish the content.","✅ UX Shortcut, ✅ Publish Action, ✅ Productivity",Boosts efficiency by allowing keyboard-based publishing.
25,Content Category Manager,Let users organize content into custom categories for easier browsing and filtering.,"✅ Category Input, ✅ UX Organization, ✅ Filterable Content",Improves structure by letting users group content into labeled categories.
26,Post Status Indicator,"Show a colored label that indicates if a post is a draft, scheduled, or published.","✅ Status Label, ✅ UX Indicator, ✅ Content State",Helps users quickly see the current status of each post with clear visual cues.
27,Cover Image Carousel,Allow users to upload multiple cover images and choose one using a carousel viewer.,"✅ Image Upload, ✅ Carousel UX, ✅ Image Selector",Gives users a way to preview and pick the best cover image from a set.
28,Title Uniqueness Checker,Warn users if their post title is too similar to existing posts to avoid duplicates.,"✅ Validation, ✅ UX Warning, ✅ Duplicate Detection",Improves content quality by preventing repetitive or confusing titles.
29,Author Credit Block,"Display author name, bio, and avatar below each post automatically.","✅ UX Profile, ✅ Metadata, ✅ Visual Block",Shows who wrote the content with an optional mini bio and profile picture.
30,Content Duplication Detector,Scan post content for accidental duplication from other posts and flag it.,"✅ Content Analysis, ✅ UX Alert, ✅ Similarity Check",Helps catch repeated content that may confuse readers or impact SEO.
31,Custom Slug Editor,Let users manually customize the URL slug for SEO or branding purposes.,"✅ SEO Control, ✅ URL Logic, ✅ Slug Editor",Gives users control over the URL that points to their content.
32,Related Posts Generator,Show a list of similar posts at the bottom using tag and topic matching.,"✅ Content Matching, ✅ UX Recommendations, ✅ Tag Logic",Helps readers explore more content related to what they just read.
33,Post Analytics Snapshot,"Display view count, likes, and average read time under each published post.","✅ Analytics, ✅ UX Metrics, ✅ Engagement Stats",Shows how well a post is performing using simple visual stats.
34,Collaborator Attribution,"Add a list of contributors for a post, including their roles or parts written.","✅ Team Input, ✅ UX Credits, ✅ Content Metadata",Gives credit to multiple people involved in creating the content.
35,Reading Mode Toggle,Let users switch between light and dark reading modes inside the content area.,"✅ UX Toggle, ✅ Dark Mode, ✅ Reader Experience",Improves reading comfort with a simple light/dark mode toggle.
36,AI Style Rewriter,Let users rewrite their content in a different tone or voice using AI.,"✅ GenAI, ✅ Content Rewriting, ✅ Tone Control","Helps writers transform their draft into formal, casual, or playful tone with AI."
37,Content Approval Workflow,"Add a status flow where content can be marked 'Needs Review', 'Approved', or 'Rejected'.","✅ Workflow Logic, ✅ UX State, ✅ Content Review",Useful for teams where content needs to be reviewed before publishing.
38,Callout Block,"Add a callout component to highlight quotes, warnings, or tips in the middle of content.","✅ Visual Block, ✅ UX Highlight, ✅ Rich Content",Draws reader attention to important pieces of information within a post.
39,Table of Contents Generator,Automatically create a clickable table of contents from section headings.,"✅ Anchor Links, ✅ UX Navigation, ✅ Content Scan",Improves content navigation by letting readers jump to different sections.
40,Archived Content Badge,Mark outdated or deprecated posts with an 'Archived' label.,"✅ UX Badge, ✅ Content State, ✅ Visual Alert",Helps readers know that the content may no longer be current or accurate.
41,Post History Timeline,Visualize the evolution of a post with timestamps of edits and publish dates.,"✅ Timeline View, ✅ Edit History, ✅ UX Detail",Makes it easy to see how content has changed over time.
